"Rank","Full name","Current title","Current organization","Location","Candidate type","Banksy connection classification","Banksy evidence summary","Sales evidence summary","Entrepreneurial evidence","Relevant artists handled","Notable employers","Public professional website","LinkedIn URL","Other public professional contact route","Total score","Evidence confidence","Outreach priority","Key concerns","Source URLs","Last verified date"
"16","Florence Whittaker","Sales Director & Head of Secondary Market","Maddox Gallery","London (Mayfair), UK","Gallery professional","Strong adjacent","Leads secondary market for a gallery with an active Banksy programme, a published Banksy report, and a Banksy valuation/consignment service; Maddox states GBP 7.6m of Banksy sales across 500+ prints and originals - a firm-level figure, not hers.","Holds a Sales Director title with explicit secondary-market ownership, having progressed from Senior Art Consultant; background includes working with private dealers and in auction houses.","No founding evidence; internal promotion track within one gallery group.","Banksy; KAWS; contemporary and street art","Maddox Gallery","https://maddoxgallery.com/about/","https://www.linkedin.com/in/florence-whittaker-52714aa8/","Maddox Gallery contact page","65","Medium-Low","Monitor","MATERIAL EMPLOYER RISK: Maddox Gallery is the subject of a US civil complaint by lender Luxury Asset Capital alleging knowingly false good-faith valuations and involvement in a 'pump and dump' scheme inflating auction prices; Maddox calls the claim 'bizarre and irrational'. Allegations are unproven and are not directed at her personally, but any hire from Maddox requires specific diligence on her involvement in valuation practice. Joined February 2025, so tenure in the role is short.","https://www.artnews.com/art-news/market/maddox-gallery-lac-art-lender-lawsuit-1234786102/ | https://maddoxgallery.com/news/185-what-i-collect-and-why-with-senior-art-maddox-gallery-senior-art-consultant-florence-whittaker-considers/ | https://www.linkedin.com/in/florence-whittaker-52714aa8/ | https://maddoxgallery.com/blogs/news/where-can-i-sell-my-banksy-5-steps-to-selling-banksy-art","2026-09-17"
"17","Jacob Barnes","Founder","Grove Gallery / Grove Collective","London & Berlin","Entrepreneurial wildcard","Relevant market","Grove Gallery sells Banksy works and publishes Banksy collector content, positioning entry-level Banksy from around GBP 3,000. No evidence of personally led significant Banksy transactions.","Built a gallery from a 2020 start into multiple venues (London, Berlin, and further locations claimed); positive published customer reviews of its art-investment buying process.","Founded Grove in late 2020 in Battersea with Morgane Wagner while also running Soft Punk Magazine; expanded internationally within a few years - clear self-starting energy at an early career stage.","Banksy; contemporary and emerging artists","Grove Gallery; Soft Punk Magazine","https://grovegallery.com/","Not located","Grove Gallery contact page","61","Low-Medium","Monitor","Banksy involvement appears to be inventory-level rather than specialist. Business identity is confusingly split across Grove Gallery and Grove Collective and possibly separate ventures - identity and entity must be disentangled before any approach. 'Art investment' marketing warrants compliance diligence.","https://fadmagazine.com/2021/01/19/new-gallery-from-jacob-barnes-of-soft-punk-magazine-and-morgane-wagner-of-square-gallery-opening-in-february/ | https://grovegallery.com/blogs/articles/where-to-find-banksy-art-in-london | https://500review.substack.com/p/profile-jacob-barnes | https://www.grovegallery.com/product-category/banksy/","2026-09-17"
"18","Harry Brian Parkinson","Specialist, Urban & Contemporary Art","Tate Ward Auctions","London, UK","Auction professional","Strong adjacent","Ten years of stated professional art-market experience specialising in Urban & Contemporary Art across both auction and private sales, in a department that sells Banksy. Personal Banksy attribution not published.","Explicitly covers both auction and private sales - the private-treaty dimension is directly relevant to ArtLife's model.","No founding evidence located; specialist role within an owner-founded auction house.","Banksy; Keith Haring; Stik; Thierry Noir; Faile","Tate Ward Auctions","https://www.tateward.com/staff/harry-brian-parkinson/","Not located","Tate Ward contact page","60","Low-Medium","Monitor","Thin public record beyond his employer's staff page; a single-source profile. Career stage and commercial performance need direct verification.","https://www.tateward.com/staff/harry-brian-parkinson/ | https://www.tateward.com/meet-the-team/ | https://www.tateward.com/private-sales/","2026-09-17"
"19","Ian Syer","Co-founder","MyArtBroker","London, UK","Entrepreneurial wildcard","Direct","Co-founded with his brother Joe the firm that describes itself as the largest private dealer of Banksy's work; firm operating in the market since 2008/2010.","Co-built a brokerage whose core volume is Banksy and blue-chip prints; business-side rather than specialist-side leader.","Co-founder and scaler of MyArtBroker over 15 years.","Banksy; blue-chip prints and editions","MyArtBroker","https://www.myartbroker.com/our-people","Not located","MyArtBroker contact page","74","Medium","Monitor","Co-owner of the leading direct competitor; effectively unavailable. Business/platform leader rather than a Banksy sales specialist.","https://www.myartbroker.com/our-people | https://www.talk-business.co.uk/2017/09/15/5-mins-ian-syer-co-founder-myartbroker/","2026-09-17"
"20","Charlotte Stewart","Managing Director","MyArtBroker","London, UK","Entrepreneurial wildcard","Strong adjacent","MD of a Banksy-led brokerage and a quoted commentator in its Banksy market analysis.","12 years at Christie's in marketing strategy and business management; launched her own marketing consultancy in 2018 serving secondary-market digital platforms before joining MyArtBroker in September 2021.","Founded and ran her own consultancy; now MD of a scaling art-tech brokerage.","Banksy; blue-chip prints","MyArtBroker; Christie's","https://www.myartbroker.com/team/charlotte-stewart","https://www.linkedin.com/in/charlotte-stewart-775a35a1/","MyArtBroker contact page","66","Medium","Monitor","Commercial-operations and marketing profile rather than a transacting Banksy dealer; would not personally carry a Banksy sales pipeline. Senior at a direct competitor.","https://www.myartbroker.com/team/charlotte-stewart | https://www.linkedin.com/in/charlotte-stewart-775a35a1/ | https://www.myartbroker.com/podcasts/articles/what-is-the-mab100-art-tech-charlotte-stewart","2026-09-17"
"21","Gareth Williams","Head of Contemporary Art and Modern Design / Urban Art Specialist","Bonhams","London, UK","Auction professional","Direct","Pioneered the Urban Art auction format at Bonhams and is credited with setting multiple world records for Banksy; Bonhams was the first auction house to offer Banksy. Took the Urban Art format to Los Angeles.","Ran urban art sales including a Banksy-led sale totalling GBP 400,175 where 16 of 17 Banksy lots sold; later Banksy results include Mickey Snake at GBP 330,600.","Created a new auction category inside an established house, an Observer 'defining moment of 2008'.","Banksy; urban and street art","Bonhams","https://www.bonhams.com/department/PIC-CON/post-war-and-contemporary-art/","Not located","Bonhams department contact page","80","Medium-High","Monitor","Joined Bonhams in 1995 - far too established to be a 'rising' junior partner, and now in a broad department head role. Current role status should be reconfirmed. Included for ecosystem mapping and as a potential referee rather than a candidate.","https://www.bonhams.com/press_release/11354/ | https://www.artforum.com/news/gareth-williams-appointed-head-of-contemporary-art-and-design-at-bonhams-34499 | https://www.bonhams.com/press_release/9965/ | https://www.bonhams.com/press_release/39818/ | https://www.bonhams.com/press_release/11550/","2026-09-17"
"22","Robin Barton","Founder","Bankrobber London","London (Mayfair), UK","Banksy specialist","Direct","Extensive and well-documented Banksy dealing, specialising in the removal, restoration and sale of Banksy street works; first street-piece sale ('What?') in 2007 for around a quarter of a million pounds; handled Slave Labour and Art Buff.","Reported sales at the GBP 1m level for removed Banksy street works.","Founded Bankrobber in Notting Hill in 2007, moving to Shepherd Market, Mayfair in 2013; authored a Banksy memoir.","Banksy","Bankrobber London","Not located","Not located","Bankrobber gallery contact","55","Medium-High","Monitor","DO NOT APPROACH WITHOUT SENIOR REVIEW. His core business model - selling Banksy works removed from walls - is works Pest Control has stated it will not authenticate, and Banksy has publicly disassociated himself from exhibitions of removed murals, calling one 'disgusting'. This is directly contrary to ArtLife's authenticated, Pest Control-anchored positioning and is a significant reputational and saleability risk.","https://en.wikipedia.org/wiki/Robin_Barton | https://www.nbcnews.com/news/world/street-artist-banksy-calls-exhibition-london-disgusting-n89196 | https://www.easthamptonstar.com/archive/banksy-show-stirs-controversy | https://www.npr.org/sections/thetwo-way/2013/07/26/205891148/another-banksy-mural-removed-set-to-be-auctioned | https://www.barnebys.co.uk/blog/get-to-know-banksys-art-dealer-interview","2026-09-17"
"23","Steve Lazarides","Founder","Laz Emporium","London, UK","Banksy specialist","Direct","Banksy's former agent, dealer, photographer and manager across roughly 11 years from 1997; founded Lazarides/Lazinc; organised 'The Art of Banksy' touring exhibition; his Banksy archive was sold at Julien's in the 'Under Duress' auction.","Built and ran Lazinc including a Mayfair flagship opened in 2018 as a joint venture with Wissam Al Mana.","Serial founder: Lazarides Gallery, Lazinc, Laz Emporium.","Banksy; Invader; JR; Vhils; Rammellzee","Laz Emporium; Lazinc; Lazarides Gallery","Not located","Not located","Laz Emporium website","58","High","Monitor","Publicly quit the commercial gallery world in 2019 citing art-world snobbery and the death of subculture - a stated exit from exactly the work ArtLife needs. His Banksy relationship is historic. Included for ecosystem context and as a possible referee, not as a hire.","https://www.theartnewspaper.com/2019/09/09/banksys-former-agent-quits-gallery-world-citing-snobbery-and-the-death-of-subculture | https://news.artnet.com/art-world/steve-lazarides-laz-emporium-1905574 | https://www.theartnewspaper.com/2017/11/29/street-art-dealer-steve-lazarides-to-open-gallery-in-mayfair-with-wissam-al-mana | https://www.juliensauctions.com/en/articles/banksy-under-duress-steve-lazarides-archive-auction-juliens-triumph-art-intrigue","2026-09-17"
"24","Lawrence Alkin","Founder","Enter Gallery (formerly artrepublic)","Brighton, UK","Gallery professional","Direct","Gallery states it was the first to sell Banksy prints - over 6,000 - and staged one of the first urban art gallery shows ('Pop', 2004) including Banksy alongside James Cauty and Jamie Reid.","Sustained multi-decade print retail business; Brighton's oldest independent gallery.","Founded and repeatedly rebuilt a gallery brand across Ink-d, artrepublic Soho, Lawrence Alkin Gallery and Enter Gallery.","Banksy; urban art; contemporary prints","Enter Gallery; artrepublic","https://entergallery.com/","Not located","Enter Gallery contact page","64","Medium","Monitor","Historic Banksy volume is at the low-value print-retail end rather than the originals market. Reports indicate the Brighton gallery is closing, so current status must be verified. Established founder, not a rising candidate.","https://entergallery.com/pages/enter-gallerys-history | https://inspiringcity.com/2018/06/30/interview-with-lawrence-alkin-the-ceo-of-the-art-republic-gallery-in-brighton/ | https://brightonjournal.co.uk/local-gallery-artrepublic-rebrands-as-enter-gallery/ | https://www.scenemag.co.uk/enter-gallery-brightons-oldest-independent-art-gallery-to-close-its-doors/","2026-09-17"
"25","Nigel Shorthouse","Co-founder","Tate Ward Auctions","London, UK","Auction professional","Strong adjacent","Co-owns an auction house with a dedicated Urban Art department that sells Banksy.","Over 20 years in the fine art auction world, most of it at Christie's as a Business Director.","Co-founded Tate Ward Auctions with Danny Herbert.","Banksy; urban and contemporary art","Tate Ward Auctions; Christie's","https://www.tateward.com/meet-the-team/","Not located","Tate Ward contact page","62","Medium","Monitor","Business-director profile rather than a Banksy sales specialist; co-owner of his own firm so availability is low.","https://www.tateward.com/meet-the-team/ | https://www.tateward.com/about-us/","2026-09-17"
"26","Robert Kennan","Head of Editions, Europe","Phillips","London, UK","Auction professional","Strong adjacent","Heads the European Editions department where Banksy is a recurring headline lot across Evening & Day Editions sales.","Department head responsibility at a major international house.","No founding evidence located.","Banksy; modern and contemporary editions","Phillips","https://www.phillips.com/editions","Not located","Phillips Editions department page","64","Low-Medium","Monitor","Senior institutional role; established rather than rising. Personal versus departmental attribution unresolved. Thin independent evidence gathered.","https://www.phillips.com/editions | https://www.phillips.com/team/filter/DepartmentName=Editions","2026-09-17"
"27","Kirsteen Davidson","Specialist, Prints","Sotheby's","London, UK","Auction professional","Direct","Named as the specialist leading Sotheby's dedicated 'Banksy/Online' sale - a rare instance of an individual being publicly attached to a single-artist Banksy auction.","Led a dedicated Banksy online sale for a major house.","No founding evidence located.","Banksy; prints and multiples","Sotheby's","https://www.sothebys.com/en/buy/auction/2019/banksy-online","Not located","Sotheby's prints department page","63","Low","Monitor","Evidence rests on a single 2019 sale reference; current role and employer must be re-verified before any approach. Information is likely stale.","https://www.sothebys.com/en/buy/auction/2019/banksy-online | https://news.artnet.com/market/sothebys-christies-will-hold-online-sales-banksy-prints-fall-1622080","2026-09-17"
"28","Rebecca Van Norman","Consignment Director, Prints & Multiples","Heritage Auctions","USA","Auction professional","Strong adjacent","Consignment director covering Prints & Multiples and Urban Art at a US house that runs recurring Banksy-inclusive Urban Art sales.","Consignment-director role is explicitly a sourcing and origination function - directly relevant to ArtLife's supply problem.","No founding evidence located.","Banksy; KAWS; prints and multiples; urban art","Heritage Auctions","https://fineart.ha.com/c/ref/consignment-directors.zx","Not located","Heritage consignment director listing","62","Low-Medium","Secondary","Limited published individual record; Banksy link is category-level. US-based, which suits ArtLife, but evidence depth is low.","https://fineart.ha.com/c/ref/consignment-directors.zx | https://fineart.ha.com/urban-art/","2026-09-17"
"29","Donna Haden","Co-Founder","GraffitiStreet","Chichester, UK","Entrepreneurial wildcard","Direct","Co-founded a gallery specialising in authenticated Banksy, Invader and Stik works.","Co-built the business from online-only in 2014 to a flagship gallery in 2024.","Co-founder alongside Rosh Boroumand.","Banksy; Invader; Stik","GraffitiStreet","https://graffitistreet.com/","Not located","GraffitiStreet contact page","63","Medium","Monitor","Public profile is markedly thinner than her co-founder's; her specific commercial function is not separately evidenced. Co-owner, so availability low.","https://graffitistreet.com/ | https://www.sussexexpress.co.uk/news/new-urban-art-gallery-opens-in-chichester-4902759","2026-09-17"
"30","Costa Theo","Art Advisory","Andipa Gallery","London, UK","Gallery professional","Strong adjacent","Advisory role at a gallery that is a recognised secondary-market Banksy specialist.","No individual sales evidence located.","No founding evidence located.","Banksy; modern and contemporary","Andipa Gallery","https://andipagallery.com/","Not located","Andipa staff/contact page","52","Low","Monitor","Evidence limited to a staff directory listing. Role scope, seniority and Banksy involvement all unverified.","http://andipa.com/info/staff | https://andipagallery.com/","2026-09-17"
"31","Emel Celik","Business Development","Andipa Gallery","London, UK","Gallery professional","Strong adjacent","Business development at a recognised Banksy secondary-market specialist gallery.","No individual sales evidence located.","No founding evidence located.","Banksy; modern and contemporary","Andipa Gallery","https://andipagallery.com/","Not located","Andipa staff/contact page","50","Low","Monitor","Staff-directory listing only; no verified commercial record.","http://andipa.com/info/staff | https://andipagallery.com/","2026-09-17"
"32","Charlotte Bain","Art Consultant","Hang-Up Gallery","London, UK","Gallery professional","Strong adjacent","Consultant at a self-declared worldwide Banksy specialist gallery; joined as an intern in 2015 and progressed through logistics and artist coordination.","Client-facing consulting role; no individual sales evidence published.","Internal progression from intern to consultant over roughly a decade.","Banksy; contemporary editions","Hang-Up Gallery","https://hanguppictures.com/team/charlotte-bain","Not located","Hang-Up Gallery contact page","54","Low-Medium","Monitor","Career stage is junior relative to a partner role; no independent evidence of deal-closing.","https://hanguppictures.com/team/charlotte-bain | https://hanguppictures.com/team","2026-09-17"
"33","Elise Ballard","Urban & Contemporary Art","Tate Ward Auctions","London, UK","Auction professional","Relevant market","Works in an urban and contemporary department that sells Banksy; BA Fine Art (Oxford Brookes, 2021) and MSc Modern & Contemporary Art History and Curating (Edinburgh).","No individual sales evidence located.","No founding evidence located.","Banksy; urban and contemporary art","Tate Ward Auctions","https://www.tateward.com/staff/elise-ballard/","Not located","Tate Ward contact page","44","Low-Medium","Monitor","Early career stage - well below junior-partner level. Listed for pipeline completeness only.","https://www.tateward.com/staff/elise-ballard/ | https://www.tateward.com/meet-the-team/","2026-09-17"
"34","Sheena Carrington","Senior Market Editor","MyArtBroker","London, UK","Entrepreneurial wildcard","Strong adjacent","Leads market analysis and editorial research across the prints and editions sector at a Banksy-led brokerage; contributes to its Banksy market reporting.","Analytical and editorial rather than transactional.","No founding evidence located.","Banksy; prints and editions","MyArtBroker","https://www.myartbroker.com/our-people","Not located","MyArtBroker contact page","48","Low-Medium","Monitor","Research and editorial profile, not a sales profile. Would fit a market-intelligence role, not a revenue-carrying partner role.","https://www.myartbroker.com/our-people | https://www.myartbroker.com/report-the-banksy-market","2026-09-17"
"35","Erin-Atlanta Argun","Content & Editorial Lead / Commissioning Editor","MyArtBroker","London, UK","Entrepreneurial wildcard","Relevant market","Editorial lead at a Banksy-led brokerage; MA Fashion History, Courtauld Institute (2022); joined February 2023.","No sales evidence.","No founding evidence located.","Banksy; prints and editions","MyArtBroker","https://www.myartbroker.com/team/erin-atlanta-argun","https://www.linkedin.com/in/erin-atlanta-argun/","MyArtBroker contact page","38","Low-Medium","Monitor","Editorial, not commercial. Does not meet the brief's sales-ability requirement. Listed for completeness.","https://www.myartbroker.com/team/erin-atlanta-argun | https://www.linkedin.com/in/erin-atlanta-argun/","2026-09-17"
"36","Ed Plackett","Head of Department, Prints & Multiples","Roseberys London","London, UK","Auction professional","Relevant market","Heads a department whose Urban & Contemporary Prints & Multiples sales feature Banksy.","Ten years as Head of Sale in 19th Century European art at Christie's South Kensington; three years as a head of department in Impressionist pictures at Bonhams Bond Street; worked as an independent dealer.","Period working as an independent dealer demonstrates some self-direction.","Banksy; Kusama; Warhol; modern and contemporary prints","Roseberys; Christie's; Bonhams","https://www.roseberys.co.uk/staff/ed-plackett","Not located","Roseberys department contact page","59","Medium","Monitor","Career centre of gravity is 19th-century and Impressionist pictures, not urban art; Banksy link is incidental to his department. Established rather than rising.","https://www.roseberys.co.uk/staff/ed-plackett | https://www.roseberys.co.uk/departments/prints-and-multiples","2026-09-17"
"37","Brian Swarts","Managing Partner","Taglialatella Galleries","New York, USA","Gallery professional","Strong adjacent","Managing partner of a gallery specialising in Pop and Street Art that has exhibited Banksy, including the 2015 'Better In Than Out' show.","Partner-level commercial responsibility across a multi-city gallery group (New York, Palm Beach, Paris, Toronto).","Partner in an established gallery group rather than a founder.","Banksy; Warhol; pop and street art","Taglialatella Galleries","https://www.taglialatellagalleries.com/about","Not located","Taglialatella Galleries contact page","63","Low-Medium","Secondary","US-based which suits ArtLife, but individual Banksy transaction evidence is absent and the gallery's Banksy activity appears episodic. Already a partner elsewhere.","https://www.taglialatellagalleries.com/about | https://www.taglialatellagalleries.com/artists/banksy | https://www.taglialatellagalleries.com/gallery","2026-09-17"
"38","Paolo Galli-Zugaro","Director of Sales","Taglialatella Galleries","New York, USA","Gallery professional","Strong adjacent","Sales director at a Pop and Street Art gallery that has exhibited and deals Banksy.","Holds the named sales leadership role for the New York flagship.","No founding evidence located.","Banksy; Warhol; pop and street art","Taglialatella Galleries","https://www.taglialatellagalleries.com/gallery","Not located","Taglialatella Galleries contact page","58","Low","Secondary","Evidence limited to a gallery staff listing. US-based and correctly career-staged, but needs substantial verification before being taken seriously.","https://www.taglialatellagalleries.com/gallery | https://www.taglialatellagalleries.com/artists/banksy","2026-09-17"
"39","Nadege Buffe","Gallery Director / Partner","Taglialatella Galleries Paris","Paris, France","Gallery professional","Strong adjacent","Directs the Paris arm of a Pop and Street Art gallery group that deals Banksy.","Director/partner level responsibility for a national market.","Partner in an established group.","Banksy; pop and street art","Taglialatella Galleries","https://www.taglialatellagalleries.com/gallery","Not located","Taglialatella Galleries Paris contact","57","Low","Secondary","Staff-listing level evidence only; individual Banksy record unverified. Already partner-level elsewhere.","https://www.taglialatellagalleries.com/gallery | https://taglialatellagalleries.com/news-archive/banksy-makes-his-mark-on-paris","2026-09-17"
"40","Guy Hepner","Owner / Founder","Guy Hepner","New York & London","Gallery professional","Direct","Owns a gallery and art advisory established in 2000 specialising in American pop, post-pop and graffiti art including Banksy; publishes collector education on Pest Control.","Twenty-five years of gallery and advisory operation across two markets.","Founded and sustained the business since 2000.","Banksy; Warhol; Haring; Basquiat; KAWS","Guy Hepner","https://www.guyhepner.com/","Not located","Guy Hepner contact page","64","Low-Medium","Monitor","Established owner, not a rising candidate, and directly competitive with ArtLife in the same US market segment. Little independent third-party coverage located.","https://www.guyhepner.com/ | https://www.artsy.net/partner/guy-hepner | https://guyhepner.com/news/334-what-is-banksys-pest-control-office","2026-09-17"
"41","James Nicholls","Managing Director & Curator","Maddox Gallery","London, UK","Gallery professional","Strong adjacent","MD of a gallery group with an active Banksy programme and published Banksy report.","Managing-director level responsibility across a multi-site gallery group.","No founding evidence located.","Banksy; KAWS; contemporary and street art","Maddox Gallery","https://maddoxgallery.com/about/","Not located","Maddox Gallery contact page","60","Low-Medium","Monitor","Subject to the same Maddox/Luxury Asset Capital litigation context noted for other Maddox staff - allegations unproven but require diligence. Already MD elsewhere.","https://maddoxgallery.com/about/ | https://www.artnews.com/art-news/market/maddox-gallery-lac-art-lender-lawsuit-1234786102/","2026-09-17"
"42","Penelope Sonder","Acquisitions Director","Maddox Gallery","London, UK","Gallery professional","Strong adjacent","Acquisitions director at a gallery with an active Banksy consignment and valuation service.","Acquisitions leadership is a sourcing function directly relevant to ArtLife's supply gap.","No founding evidence located.","Banksy; KAWS; contemporary and street art","Maddox Gallery","https://maddoxgallery.com/about/","Not located","Maddox Gallery contact page","58","Low","Monitor","Evidence is limited to a third-party org-chart aggregator and should be confirmed against Maddox's own site. Same Maddox litigation context applies.","https://rocketreach.co/maddox-gallery-management_b55b418bf693c8b7 | https://maddoxgallery.com/about/ | https://www.artnews.com/art-news/market/maddox-gallery-lac-art-lender-lawsuit-1234786102/","2026-09-17"
"43","Maeve Doyle","Artistic Director","Maddox Gallery","London, UK","Gallery professional","Strong adjacent","Publishes Maddox's public commentary on Banksy's new murals - a visible market-voice role.","Artistic direction rather than sales.","No founding evidence located.","Banksy; contemporary and street art","Maddox Gallery","https://maddoxgallery.com/about/","Not located","Maddox Gallery contact page","52","Low-Medium","Monitor","Curatorial/voice role, not a revenue-carrying one. Same Maddox litigation context applies.","https://maddoxgallery.com/news/364-maddox-artistic-director-maeve-doyle-on-banksy-s-latest/ | https://www.artnews.com/art-news/market/maddox-gallery-lac-art-lender-lawsuit-1234786102/","2026-09-17"
"44","Jay Rutland","Creative Director","Maddox Gallery","London, UK","Gallery professional","Strong adjacent","Highly visible public face of a gallery with an active Banksy programme.","Brand and profile-building rather than documented individual dealing.","Helped build Maddox's public brand.","Banksy; contemporary and street art","Maddox Gallery","https://maddoxgallery.com/about/","Not located","Maddox Gallery contact page","50","Low","Monitor","A promotional article states he 'works closely with Pest Control'. That claim appears only in promotional coverage and is NOT independently established - it must not be repeated or relied upon. Same Maddox litigation context applies. Creative/brand role rather than a specialist dealing role.","https://graziamagazine.com/us/articles/maddox-gallery-art-miami-banksy/ | https://maddoxgallery.com/about/ | https://www.artnews.com/art-news/market/maddox-gallery-lac-art-lender-lawsuit-1234786102/","2026-09-17"
"45","Morgane Wagner","Co-founder","Grove Gallery","London, UK","Entrepreneurial wildcard","Relevant market","Co-founded a gallery that carries Banksy inventory; previously associated with Square Gallery.","Co-built a gallery from 2020 into multiple venues.","Co-founder of Grove with Jacob Barnes.","Banksy; contemporary and emerging","Grove Gallery; Square Gallery","https://grovegallery.com/","Not located","Grove Gallery contact page","54","Low","Monitor","Banksy connection is inventory-level. Public record is thin and current involvement with Grove should be confirmed.","https://fadmagazine.com/2021/01/19/new-gallery-from-jacob-barnes-of-soft-punk-magazine-and-morgane-wagner-of-square-gallery-opening-in-february/ | https://grovegallery.com/","2026-09-17"
"46","Alexander Nachkebiya","Curator","The Art of Banksy (Exhibition Hub)","International / touring","Entrepreneurial wildcard","Direct","Curator of a touring exhibition presenting a large Banksy collection, promoted as featuring 100 original works and toured with Exhibition Hub and Fever.","Exhibition production and touring rather than art sales.","Built a touring exhibition franchise.","Banksy","Exhibition Hub","Not located","Not located","Exhibition Hub press contact","46","Low","Monitor","Exhibition production is a different discipline from dealing - no evidence of transacting. Note also that touring Banksy exhibitions are explicitly unauthorised by the artist, which carries reputational considerations for a gallery positioned on authentication.","https://www.prnewswire.com/news-releases/exhibition-hub-and-fever-the-curator-alexander-nachkebiya-presents-the-worlds-largest-banksy-collection-featuring-100-original-works-coming-to-the-us-this-summer-301285045.html | https://artofbanksy.co.uk/about-the-exhibition/","2026-09-17"
"47","Corey Ross","Producer","The Art of Banksy / Starvox Entertainment","Toronto, Canada","Entrepreneurial wildcard","Direct","Producer of the touring 'The Art of Banksy' exhibition of roughly 160 works, which has reached 1.5m+ visitors across 15 cities.","Large-scale exhibition production and ticketing revenue rather than art sales.","Built and scaled an international touring exhibition business.","Banksy","Starvox Entertainment","Not located","Not located","Starvox Entertainment contact","48","Low-Medium","Monitor","Live-entertainment producer, not an art dealer; no evidence of sourcing or transacting artworks. The exhibition is explicitly not authorised by Banksy.","https://stpetecatalyst.com/the-art-of-banksy-from-the-streets-to-the-straz-center/ | https://artofbanksy.co.uk/about-the-exhibition/ | https://www.broadsheet.com.au/sydney/art-and-design/article/worlds-largest-touring-collection-banksys-works-opens-sydney-tomorrow","2026-09-17"
"48","Hazis Vardar","Founder","Banksy Museum","New York / Paris","Entrepreneurial wildcard","Relevant market","Founded the Banksy Museum (Paris 2021, New York 2024) displaying recreations of Banksy murals; reported to privately collect original Banksy works.","Venue and visitor-economy business rather than art dealing.","Belgian theatre owner who built a multi-city museum franchise.","Banksy (recreations)","Banksy Museum","https://museumbanksy.com/","Not located","Banksy Museum press contact","40","Medium","Monitor","The museum displays recreations, not originals, and has attracted legal commentary. This is structurally opposed to ArtLife's authenticity-led positioning. Not a dealing candidate.","https://en.wikipedia.org/wiki/Banksy_Museum | https://www.npr.org/2024/05/28/1253005720/banksy-museum-nyc | https://lavocedinewyork.com/en/new-york/2024/05/29/a-banksy-museum-but-no-banksys-the-artist-is-not-complaining-the-lawyer-is/ | https://www.digitaljournal.com/article/meet-hazis-vardar-founder-of-the-banksy-museum/","2026-09-17"
"49","Lionel Logchies","Co-founder","Moco Museum","Amsterdam, Netherlands","Entrepreneurial wildcard","Direct","Co-founded Moco Museum (2016), among the first museums to exhibit Banksy, with a continuous Banksy presence across Amsterdam, Barcelona and London sites.","Twenty years as a gallery owner before founding Moco; museum visitor economics rather than dealing.","Co-founded and scaled a three-city private museum brand from a commercial gallery base.","Banksy; Haring; Warhol; KAWS; Basquiat; Kusama","Moco Museum","https://www.mocomuseum.com/","Not located","Moco Museum contact page","57","Medium","Monitor","Museum operator and principal of his own institution; not available and not a transacting dealer role. Valuable as a relationship and loan/exhibition partner rather than a hire.","https://en.wikipedia.org/wiki/Moco_Museum | https://www.mocomuseum.com/barcelona/banksy-disrupted-power/","2026-09-17"
"50","Kim Logchies-Prins","Co-founder","Moco Museum","Amsterdam, Netherlands","Entrepreneurial wildcard","Direct","Co-founded Moco Museum (2016) with a continuous Banksy exhibition programme across three cities.","Twenty years of gallery ownership prior to Moco.","Co-founder of a scaled private museum brand.","Banksy; Haring; Warhol; KAWS; Basquiat; Kusama","Moco Museum","https://www.mocomuseum.com/","Not located","Moco Museum contact page","57","Medium","Monitor","As above - institutional principal, not available, not a dealing hire. Better positioned as an institutional relationship.","https://en.wikipedia.org/wiki/Moco_Museum | https://www.mocomuseum.com/barcelona/banksy-disrupted-power/","2026-09-17"
"51","Jessica McBride","Co-founder","Dellasposa Gallery","London, UK","Independent advisor","Relevant market","Co-founded a gallery (2016) whose roster includes Banksy alongside Hirst, Kapoor, Riley and Sugimoto; Banksy is one name among many rather than a specialism.","Gallery and art advisory operation since 2016.","Co-founded and designed the gallery.","Banksy; Hirst; Kapoor; Riley; Sugimoto","Dellasposa Gallery","https://www.dellasposa.com/","Not located","Dellasposa contact page","50","Low","Monitor","Banksy connection is weak and inventory-level; no evidence of Banksy specialism or transactions. Owner of her own business.","https://www.dellasposa.com/about/ | https://fadmagazine.com/2018/10/10/dellasposa-announces-its-new-permanent-art-gallery-opening-in-london-this-month/ | https://ocula.com/art-galleries/dellasposa/","2026-09-17"
"52","Julian Phillimore","Co-founder","Dellasposa Gallery","London, UK","Independent advisor","Relevant market","Co-founded a gallery (2016) carrying Banksy within a broad modern and contemporary roster.","Gallery and art advisory operation since 2016.","Co-founded the gallery.","Banksy; Hirst; Kapoor; Riley; Sugimoto","Dellasposa Gallery","https://www.dellasposa.com/","Not located","Dellasposa contact page","49","Low","Monitor","As above - weak Banksy evidence, owner of his own business.","https://www.dellasposa.com/about/ | https://fadmagazine.com/2018/10/10/dellasposa-announces-its-new-permanent-art-gallery-opening-in-london-this-month/","2026-09-17"
