"Candidate","Claim","Claim category","Source title","Source URL","Publication date","Access date","Direct quote or concise paraphrase","Source quality","Confidence","Notes"
"Acoris Andipa","Co-curated museum Banksy exhibitions with Stefano Antonelli in Rome and Genoa.","Network","War, Capitalism & Liberty: BANKSY from Private Collections in Rome","https://andipa.com/node/1798","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: curated by Acoris Andipa and Stefano Antonelli, among the curators of the first major Banksy exhibition at the Rome foundation's museum in 2016; later Fondazione Terzo Pilastro and Palazzo Ducale, Genoa.","Primary (employer site)","Medium-High","Museum exhibition credits are generally verifiable; specific institution names should be confirmed with the institutions."
"Ben Cotton","Founded Hang-Up Gallery in 2008 and is Founder & Director.","Role/title","Ben Cotton | Founder & Director | Hang-Up Gallery","https://hanguppictures.com/team/ben-cotton","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: founded Hang-Up Pictures in 2008 as a London-based independent gallery specialising in high-quality limited editions.","Primary (employer site)","High","Corroborated by his public LinkedIn profile and independent Hackney Gazette and MiS Magazine interviews."
"Ben Cotton","Started the gallery from his spare bedroom using a Clerkenwell PO Box for credibility, before online art selling was common.","Entrepreneurial","Ben Cotton: 'The gallery was run from my spare bedroom...'","https://www.hackneygazette.co.uk/news/22932522.ben-cotton-the-gallery-run-spare-bedroom-p-o-box-clerkenwell-sound-credible/","Not established (page not opened - see limitations)","2026-09-17","Quote (as reported in the headline): 'The gallery was run from my spare bedroom, with a P.O. Box in Clerkenwell to sound more credible'.","Independent regional press","Medium-High","Independent publication; strong founder-narrative evidence. Quotation kept brief."
"Ben Cotton","Hang-Up positions itself as a worldwide Banksy specialist and created a dedicated 'Banksy Bunker' display room.","Banksy-direct","Worldwide Banksy Specialists | London, UK | Hang-Up Gallery","https://hanguppictures.com/","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: almost 20 years buying and selling Banksy prints and original works; the Dalston gallery unveiled a 'Banksy Bunker' room dedicated to Banksy canvases, prints and sculptures.","Primary (employer site) - partly promotional","Medium","The Banksy Bunker is also referenced in independent London listings coverage."
"Rosh Boroumand","Co-founded GraffitiStreet in 2014 with Donna Haden; the gallery specialises in authenticated Banksy, Invader and Stik works.","Entrepreneurial","GraffitiStreet Store - Buy Urban Art","https://graffitistreet.com/","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: founded by Rosh Boroumand and Donna Haden in 2014, the independent Chichester gallery specialises in authenticated works by Banksy, Invader and Stik.","Primary (employer site)","Medium-High","Founding date and co-founder corroborated by independent Sussex Express coverage of the gallery opening."
"Rosh Boroumand","Has over a decade of specialist experience across provenance research, Pest Control certification, edition history and condition reporting.","Provenance/authentication","Banksy Authentication: Pest Control, Provenance & Collector Guide","https://graffitistreet.com/how-to-authenticate-a-banksy-pest-control-provenance-and-collector-confidence/","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: brings meticulous attention to detail across provenance research, Pest Control certification, edition history, condition reporting and collector acquisition strategy.","Primary (employer site) - self-descriptive","Low-Medium","CRITICAL DISTINCTION: this describes competence in navigating the Pest Control certification process. It is NOT evidence of any relationship with Pest Control Office and must never be represented as such."
"Rosh Boroumand","Portfolio is stated to include sourcing rare prints that sold for six-figure sums.","Sales performance","Banksy Authentication: Pest Control, Provenance & Collector Guide","https://graffitistreet.com/how-to-authenticate-a-banksy-pest-control-provenance-and-collector-confidence/","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: an impressive portfolio that includes sourcing rare prints selling for six-figure sums.","Primary (employer site) - promotional","Low","PROMOTIONAL AND UNQUANTIFIED. No named transactions, dates or counts. This is the single weakest link in an otherwise strong profile and is a priority verification item."
"Rosh Boroumand","Moved GraffitiStreet from an online platform to a physical flagship gallery at 25a West Street, Chichester.","Entrepreneurial","New urban art gallery opens in Chichester","https://www.sussexexpress.co.uk/news/new-urban-art-gallery-opens-in-chichester-4902759","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: the husband-and-wife team opened a new gallery in a restored Victorian building at 25a West Street, transitioning from their online platform founded in Chichester in 2014.","Independent regional press","Medium-High","Independent corroboration of the online-to-physical growth step. A second Sussex Express piece covers a Banksy-focused show at the gallery."
"Jasper Tordoff","Is a named Banksy specialist and specialist broker at MyArtBroker.","Role/title","Jasper Tordoff | MyArtBroker","https://www.myartbroker.com/team/jasper-tordoff","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: brings a deep understanding of the blue chip print market from early Lowry works to Banksy, with particular expertise in print market dynamics.","Primary (employer site)","Medium-High","Corroborated by his public LinkedIn profile (Specialist Broker, MyArtBroker)."
"Jasper Tordoff","Previously worked at Christie's in the Modern British department.","Role/title","Jasper Tordoff | MyArtBroker","https://www.myartbroker.com/team/jasper-tordoff","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: previously worked with leading auction houses including Christie's, where he cut his teeth in the Modern British department.","Primary (employer site)","Medium","Single-source employer biography; should be confirmed directly at reference stage."
"Jasper Tordoff","Appears in national broadcast media as a Banksy expert, including Sky News coverage of Banksy's London Zoo series.","Network","Videos: Banksy Specialist's MyArtBroker on Sky News - Banksy's London Zoo","https://www.myartbroker.com/videos/articles/sky-news-banksy-london-zoo-video","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: MyArtBroker's Banksy specialist appearing on Sky News discussing Banksy's London Zoo series.","Primary (employer site) hosting third-party broadcast","Medium-High","The underlying Sky News appearance is independent; the hosting page is the employer's. Broadcast credibility is a genuine, transferable asset for ArtLife's positioning."
"Taylor Curry","Was named Director of Modern & Contemporary Art at Heritage Auctions, New York.","Role/title","Taylor Curry Named Director of Modern and Contemporary Art at Heritage New York","https://fineart.ha.com/heritage-auctions-press-releases-and-news/taylor-curry-named-director-of-modern-and-contemporary-art-at-heritage-new-york.s?releaseId=4400","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: appointment announcement naming Taylor Curry Director of Modern & Contemporary Art at Heritage New York.","Primary (employer press release)","High","A formal corporate appointment announcement - among the strongest source types collected. Corroborated by his public LinkedIn and Heritage's consignment director listing."
"Taylor Curry","Progressed at Heritage from Junior Specialist to Consignment Director to Director since joining in 2013.","Sales performance","Art Consignment Directors","https://fineart.ha.com/c/ref/consignment-directors.zx","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: joined Heritage in 2013 and progressed from Junior Specialist to Consignment Director to Director, described as instrumental in the growth of the Modern & Contemporary department.","Primary (employer site)","Medium-High","Promotion trail is a recognised indicator of commercial responsibility under the brief's criteria."
"Taylor Curry","Is one of the founding specialists of Heritage's 'In Focus' and Urban Art sales, which have offered Banksy.","Banksy-direct","Urban Art | Heritage Auctions","https://fineart.ha.com/urban-art/","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: one of the founding specialists of the 'In Focus' and Urban Art sales; hand-picks rare consignments for urban art auctions.","Primary (employer site)","Medium","Banksy exposure is department-level. Independent Hypebeast coverage confirms Heritage Urban Art sales have included Banksy alongside KAWS, Futura and Murakami, but does not attribute lots to him personally."
"Arnaud Oliveux","Is the contemporary art specialist in charge of urban art sales at Artcurial.","Role/title","The Urban Project Sales make a comeback to Artcurial","https://www.artcurial.com/en/articles/the-urban-project-sales-make-a-comeback-to-artcurial","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: Arnaud Oliveux, the contemporary art specialist in charge of urban art sales, became interested in urban art early and enabled Artcurial to establish itself as a true urban art specialist.","Primary (employer site)","Medium-High","Corroborated by an independent Artsper interview and French press coverage of Artcurial Banksy sales."
"Arnaud Oliveux","Oversaw Artcurial's Banksy sale held days after the Sotheby's shredding incident in October 2018.","Banksy-direct","Paris auction house holds its breath ahead of Banksy sale after shredding","https://www.thelocal.fr/20181024/paris-auction-house-holds-its-breath-ahead-of-banksy-sale-after-shredding/","2018-10-24","2026-09-17","Paraphrase: the Paris auction house braced for its Banksy sale in the aftermath of the shredding, with security measures taken.","Independent press","Medium-High","STALE - dated 2018. Establishes historic Banksy responsibility; his current role must be re-verified before any approach."
"Huw Lougher","Founded Lougher Contemporary in 2015 after leaving corporate finance at KPMG.","Entrepreneurial","7 Questions for Gallerist Huw Lougher on Why He Thinks Editions Are a Collector's Best Bet","https://news.artnet.com/art-world/7-questions-huw-lougher-lougher-contemporary-2331453","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: went from being an accountant at KPMG to setting up Lougher Contemporary and becoming a full-time art dealer; became interested in the art market in 2007 while training as an accountant.","Highly authoritative art-market publication","High","Artnet News is an independent, editorially reputable art-market source - the strongest third-party validation collected for any founder in this longlist."
"Huw Lougher","Has been profiled by Artnet News a second time on art market trends and advice for collectors.","Network","Huw Lougher of Lougher Contemporary on Art Market Trends and Advice for New Collectors","https://news.artnet.com/art-world/lougher-contemporary-art-market-trends-2575434","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: interviewed by Artnet on recent art market trends and advice for new collectors.","Highly authoritative art-market publication","High","Two separate independent Artnet features indicate recognised standing as a market voice."
"Huw Lougher","Lougher Contemporary deals Banksy within a blue-chip editions programme, concentrated in the sub-GBP 10,000 band.","Banksy-direct","About | Lougher Contemporary","https://www.loughercontemporary.com/pages/about","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: deals in works by artists including David Shrigley, Tracey Emin, Banksy and Damien Hirst, particularly in the sub-GBP 10,000 price range; specialises in contemporary blue-chip editions and private sales.","Primary (subject's own site)","Medium","IMPORTANT LIMITATION: this places his Banksy activity at the editions end, not the originals market ArtLife wants to lead. Do not overstate his Banksy credentials."
"Huw Lougher","Marked ten years of Lougher Contemporary in a published anniversary interview.","Entrepreneurial","10 Years of Lougher Contemporary","https://www.loughercontemporary.com/blogs/editorial/10-years-of-lougher-contemporary-our-team-interviews-founder-huw-lougher-on-a-decade-in-the-art-market","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: a decade-anniversary interview with founder and managing director Huw Lougher on building the gallery.","Primary (subject's own site)","Medium-High","Business longevity of ten years is independently consistent with the 2015 founding date reported by Artnet."
"Tim Luke","Was named Executive Director, Contemporary and Street Art at Julien's Auctions in July 2017.","Role/title","Julien's Auctions Names Tim Luke Executive Director of Contemporary and Street Art Auctions","https://www.broadwayworld.com/los-angeles/article/Juliens-Auctions-Names-Tim-Luke-Executive-Director-of-Contemporary-and-Street-Art-Auctions-20170710","2017-07-10","2026-09-17","Paraphrase: named Executive Director, Contemporary and Street Art, managing development of the house's contemporary and street art global auction markets.","Independent trade press reporting a company announcement","Medium-High","STALE - dated July 2017. A later source indicates he went on to head Hindman's Independent Appraisals division, so his current role is genuinely uncertain and must be verified first."
"Tim Luke","Began his career at Christie's New York, rising to Director of the Collectibles Department, with 35+ years in auction and appraisal.","Role/title","Julien's Auctions Executive Director Tim Luke on Top Lots and Expanding the Street Art Market","https://www.artsy.net/article/artsy-auctions-julien-s-auctions-executive-director-tim-luke-top-lots-expanding-street-art-market","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: began at Christie's New York where he spent seven years and advanced to Director of the Collectibles Department and auctioneer; more than 35 years in auction and appraisal.","Reputable art-market publication","Medium-High","35+ years places him outside the 'rising' career stage described in the brief."
"Tim Luke","Julien's ran the 'Under Duress: The Banksy Archive of Steve Lazarides' auction.","Banksy-direct","JULIEN'S AUCTIONS ANNOUNCES 'UNDER DURESS: THE BANKSY ARCHIVE OF STEVE LAZARIDES AUCTION'","https://www.prnewswire.com/news-releases/juliens-auctions-announces-under-duress-the-banksy-archive-of-steve-lazarides-auction-302274808.html","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: Julien's announced the 'Under Duress' auction of Steve Lazarides' Banksy archive.","Company press release via newswire","Medium","EMPLOYER-LEVEL EVENT. The sale is Julien's, not Tim Luke's - it must not be attributed to him personally without confirmation that he led it."
"Shane Xu","Joined Roseberys London in the Prints & Multiples area.","Role/title","Shane Xu - Joins the team!","https://www.roseberys.co.uk/news/shane-xu-joins-the-team","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: an announcement of Shane Xu joining the Roseberys team.","Primary (employer site)","Medium","Confirms employment; does NOT confirm the 'Head of Department' title attributed in one search summary."
"Shane Xu","Roseberys' own staff page lists Ed Plackett, not Shane Xu, as Head of Department, Prints & Multiples.","Role/title","Ed Plackett - Head of Department | Prints & Multiples","https://www.roseberys.co.uk/staff/ed-plackett","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: Ed Plackett is listed as Head of Department, Prints & Multiples at Roseberys.","Primary (employer site)","Medium-High","IDENTITY/TITLE CONFLICT RESOLVED IN FAVOUR OF THE EMPLOYER STAFF PAGE. A search summary describing Shane Xu as head of department is treated as unreliable. Her exact title remains unconfirmed."
"Shane Xu","Rose from intern to Head of Sales over six years at Bloomsbury, then was invited by Sworders to create a Prints department for them.","Entrepreneurial","Shane Xu - Greater London, England | Professional Profile","https://www.linkedin.com/in/shane-xu-90542418/","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: previously in finance at a Fortune 500 company; took an internship in the prints department at Bloomsbury and over six years went from intern to Head of Sales; was then invited by Sworders to create a prints department, before joining Roseberys.","Public professional profile (self-authored)","Low-Medium","SELF-REPORTED career narrative on a personal profile. The department-building claim at Sworders is the most decision-relevant item and is entirely unverified externally."
"Shane Xu","Roseberys Prints & Multiples sales feature Banksy, including a September sale led by rare Kusama and Banksy prints.","Banksy-direct","Rare Kusama and Banksy Prints Lead September Prints & Multiples Auction","https://www.roseberys.co.uk/news/rare-kusama-and-banksy-prints-lead-september-prints-multiples-auction","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: rare Kusama and Banksy prints led a September Prints & Multiples auction at Roseberys.","Primary (employer site)","Medium","Department-level Banksy exposure only; no personal attribution."
"Steven Sulley","Founded Woodbury House in 2014; the gallery has locations in Mayfair and Dubai.","Entrepreneurial","About Woodbury House | Art Gallery","https://woodburyhouseart.com/about/","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: Woodbury House was founded in 2014 by Steven Sulley; a globally recognised gallery with locations in Mayfair, London and Dubai, dedicated to post-street and graffiti art.","Primary (employer site)","Medium-High","Corroborated by a third-party org listing and by his personal professional site."
"Steven Sulley","Serves as an official advisor to the Richard Hambleton Archive.","Network","Steven Sulley, Director of Woodbury House Art","https://www.stevensulley.co.uk/woodbury-house","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: official advisor to the Richard Hambleton Archive; in 2016 was approached by a dealer regarding an overlooked Hambleton work.","Primary (subject's own site)","Low-Medium","Self-published on his own personal site; the Archive advisory role should be confirmed with the Archive directly."
"Steven Sulley","Woodbury House's core programme is post-street and graffiti art (Hambleton, Blek le Rat, DEFER, Lee Quinones, TOXIC), with Banksy peripheral.","Banksy-direct","Banksy Artworks at Woodbury House in London","https://fineartshippers.com/banksy-artworks-at-woodbury-house-in-london/","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: Woodbury House added some Banksy artworks including a Girl with Balloon edition to a collection whose represented artists are Blek le Rat, DEFER, Richard Hambleton, Lee Quinones, KEO-XMEN and TOXIC.","Trade blog - low authority","Low","Weak source. Used only to support the negative finding that Banksy is peripheral to the programme, which is consistent with the gallery's own artist roster."
"Rebecca Tooby-Desmond","Is Specialist, Head of Sale in Phillips' Editions department, London.","Role/title","Our Team | Phillips (Editions)","https://www.phillips.com/team/filter/DepartmentName=Editions","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: listed in Phillips' Editions department team; Specialist, Head of Sale, Editions, based in London.","Primary (employer site)","Medium-High","Third-party aggregators give varying titles (including 'Associate Director' and 'Researcher'), so the precise current title must be confirmed from Phillips directly."
"Rebecca Tooby-Desmond","Banksy is a recurring lot across Phillips Evening & Day Editions sales from 2017 to 2025.","Banksy-direct","Banksy - Evening & Day Editions London","https://www.phillips.com/detail/banksy/UK030125/45","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: Banksy lots appear across successive Phillips Evening & Day Editions London sales including 2017, 2019, 2022, 2023 and 2025.","Primary (auction house lot records)","High","Auction lot records are among the most reliable public evidence available. However this evidences the DEPARTMENT's Banksy activity, not her personal handling of specific lots."
"Rebecca Tooby-Desmond","Phillips London Editions auctions have realised results at the multi-million pound level.","Sales performance","PHILLIPS: London Editions Auction Realizes GBP 4.4 Million","https://www.phillips.com/article/29445502/london-editions-auction-realizes-%C2%A34-4-million","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: a London Editions auction realised GBP 4.4 million.","Primary (employer results announcement)","Medium-High","EMPLOYER-LEVEL RESULT. Explicitly must not be attributed to her individually - this is a departmental sale total."
"Joseph Bannan","Is Gallery Director at Woodbury House and moved from collecting into dealing before the directorship.","Entrepreneurial","Woodbury House Gallery Director, Joseph Bannan Talks Street Art, Collecting and Exhibitions","https://artplugged.co.uk/woodbury-house-gallery-director-joseph-bannan-talks-street-art-collecting-and-exhibitions/","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: his background is as a collector with a strong interest in street art; the opportunity arose to start buying and selling works, acting as a dealer, before becoming Gallery Director at Woodbury House.","Independent art publication (interview)","Medium","Independent interview source; the career narrative is nonetheless the subject's own account."
"Madeleine White","Is Senior Sales and Acquisitions at Hang-Up Gallery, with prior roles at Roseberys and Chiswick Auctions.","Role/title","Madeleine White | Senior Sales and Acquisitions | Hang-Up Gallery","https://hanguppictures.com/team/madeleine-white-2","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: Senior Sales and Acquisitions Consultant at Hang-Up Gallery, with previous roles at Roseberys London and Chiswick Auctions; earlier roles include Chiswick Auctions paintings cataloguer (2019-2020) and Woolley and Wallis paintings administrator (2018-2019).","Primary (employer site) + public professional profile","Medium-High","Employer page and public LinkedIn profile are consistent on role and employers."
"Madeleine White","Hang-Up specialises in signed and unsigned Banksy prints, the category her sales role covers.","Banksy-direct","Banksy Prints - Signed & Unsigned | Hang-Up Gallery","https://hanguppictures.com/artists/banksy","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: Hang-Up specialises in signed and unsigned Banksy prints.","Primary (employer site)","Medium","INFERENCE, NOT DIRECT EVIDENCE. Her personal Banksy transaction record is not published; the Banksy link is derived from her role at a Banksy-specialist gallery."
"Florence Whittaker","Is Sales Director & Head of Secondary Market at Maddox Gallery, having joined in February 2025 and previously been Senior Art Consultant.","Role/title","Florence Whittaker - Maddox Gallery","https://www.linkedin.com/in/florence-whittaker-52714aa8/","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: Sales Director & Head of Secondary Market at Maddox Gallery from February 2025; previously Senior Art Consultant at the same gallery.","Public professional profile","Medium","Date of February 2025 means barely eighteen months in the senior role as at the access date - short tenure for assessing performance."
"Florence Whittaker","Maddox Gallery is the subject of a US civil complaint alleging knowingly false valuations and a 'pump and dump' scheme; Maddox disputes the claim.","Risk/reputation","Art Lender Accuses Maddox Gallery of Inflating Value of Art Used as Collateral","https://www.artnews.com/art-news/market/maddox-gallery-lac-art-lender-lawsuit-1234786102/","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: Luxury Asset Capital alleges in the US District Court for the Southern District of New York that Maddox provided knowingly false good-faith estimates of secondary market value and was involved in a 'pump and dump' scheme inflating auction prices; the gallery calls the claim 'bizarre and irrational'.","Reputable art-market publication","Medium-High","ALLEGATIONS ARE UNPROVEN AND ARE NOT DIRECTED AT ANY INDIVIDUAL NAMED HERE. Recorded because it is directly relevant to professional risk for any hire from Maddox, and because valuation integrity is central to the role. Case status must be checked before any approach."
"Maddox Gallery (context)","Maddox states GBP 7.6 million of Banksy sales across 500+ prints and originals.","Sales performance","Where can I sell my Banksy? Maddox's 5 Step Guide","https://maddoxgallery.com/blogs/news/where-can-i-sell-my-banksy-5-steps-to-selling-banksy-art","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: over GBP 7.6 million in Banksy sales spanning 500+ prints and originals.","Primary (employer site) - promotional","Low-Medium","FIRM-LEVEL MARKETING FIGURE, undated and unaudited. Must not be attributed to any individual employee."
"Robin Barton","Founded Bankrobber, which specialises in the removal, restoration and sale of Banksy street works.","Banksy-direct","Robin Barton","https://en.wikipedia.org/wiki/Robin_Barton","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: art dealer and founder of the dealership Bankrobber, specialising in the removal, restoration and sale of Banksy street works; launched in Notting Hill in 2007 and moved to Shepherd Market, Mayfair in 2013.","Tertiary encyclopaedia","Low-Medium","Encyclopaedia entry used as a discovery lead; the substantive risk finding below rests on independent news reporting."
