company,url,segment,legal_model,business_model,founded,hq,founders_leadership,target_market,geography_availability,partners,celebrity_involvement,funding_or_disclosed_performance,customer_promise,positioning,key_products,displayed_price_examples,traffic_proxy,social_audience,review_signal,advertising_visibility,regulatory_or_risk_notes,within_segment_rank,rank_methodology,evidence_confidence,primary_source_url,access_date,research_file
Calibrate,https://www.joincalibrate.com,Telehealth/clinician-led,Prescription telehealth via licensed clinicians; compounded or approved drugs dispensed by pharmacies,Virtual metabolic program: FDA-approved GLP-1 medication + curriculum + 1:1 coaching; pivoted toward enterprise/employer after consumer down-sizing,2019 (widely reported; not re-verified),"New York, NY (widely reported)",Isabelle Kenyon (founder); CEO Rob Rebak replaced Rob MacNaughton (Endpoints); CFO and CCO departed,Adults with obesity/metabolic disease; employers/payers,US,Branded medication via insurance/pharmacies,unknown,Acquisition talks with a 'large healthcare leader' fizzled; investors eyed 'rapid down-sizing' of consumer business (Yahoo Finance); '2026 Calibrate Results Report' published (LinkedIn) - still operating; no bankruptcy found,Members lose 20% over 3 years (homepage claim per search snippet),"Insurance-based, FDA-approved-only GLP-1 program; no peptides/NAD+",Calibrate Metabolic Reset,,no public estimate found,unknown,unknown,not checked,Outcome claim based on company results report; cohort selection not assessed,20,"Proxy scorecard weighted to disclosed funding/performance, formulary breadth, pricing evidence and review signals (traffic/ads/social not retrievable). See research/01_telehealth_companies.md.",Medium,https://finance.yahoo.com/news/ceo-ozempic-prescription-startup-calibrate-113714480.html,2026-09-02,research/01_telehealth_companies.json
Lifeforce,https://www.mylifeforce.com,Telehealth/clinician-led,Prescription telehealth via licensed clinicians; compounded or approved drugs dispensed by pharmacies,"Diagnostics-led membership: $199 month 1 (at-home 50+ biomarker draw + physician consult), $149/mo thereafter; hormones, peptides, GLP-1 and supplements billed separately",2021,"Santa Monica, CA","Joel Jackson (founder per Tracxn); Dugal Bain-Kim (CEO), Tony Robbins and Peter Diamandis widely reported as co-founders - not re-verified this session",Affluent 35-60 longevity/performance consumers,US; state list not verified,Compounding pharmacy (peptides billed via pharmacy; not named),Tony Robbins / Peter Diamandis association widely reported (Analyst inference; not verified this session),"$12M Series A (2023-05-23) led by M13 and Peterson Ventures; ~90 employees (Tracxn, May 2026)","One membership covers diagnostics, physician oversight and access to all peptide protocols",Premium longevity membership with broad peptide formulary,Lifeforce Membership; Peptide therapy protocols; Hormone therapy,$199 month 1; $149/mo thereafter (third-party); $50-$200/mo via compounding pharmacy (third-party),no public estimate found,unknown,unknown,not checked,Longevity framing,11,"Proxy scorecard weighted to disclosed funding/performance, formulary breadth, pricing evidence and review signals (traffic/ads/social not retrievable). See research/01_telehealth_companies.md.",Low,https://virtualcarefinder.com/providers/lifeforce-longevity,2026-09-02,research/01_telehealth_companies.json
Function Health,https://www.functionhealth.com,Telehealth/clinician-led,Prescription telehealth via licensed clinicians; compounded or approved drugs dispensed by pharmacies,"$499/yr lab-testing membership (160+ tests) + add-ons: $499 full-body MRI (via Ezra acquisition, May 2025), $349 Heart & Lungs CT (Nov 2025); acquisitions of Getlabs (Apr 2026) and SuppCo (May 2026). Doctors generate summaries/alerts; no direct consults or prescriptions (Sacra)",2022 (widely reported),"Austin, TX (widely reported)","Jonathan Swerdlin (CEO), Dr. Mark Hyman (co-founder, CMO) - widely reported; not re-verified",Health-optimizing consumers,US,Quest (lab draws) widely reported; Getlabs (owned); no pharmacy,"Investors Matt Damon, Pedro Pascal, Kevin Hart (Yahoo Finance headline)","$298M Series B at $2.5B valuation (Nov 2025, TechCrunch); $450M growth financing (Jul 2026, MobiHealthNews; General Catalyst per DistilInfo); >$800M raised total; 100K+ members and 200K waitlist (2024)",Comprehensive testing to catch issues early,"Testing/diagnostics platform, not a prescriber - NO peptides or Rx identified",Function Membership; Full-body MRI; Heart & Lungs CT,$349; $499; $499/year,no public estimate found,unknown,unknown,not checked,none observed,2,"Proxy scorecard weighted to disclosed funding/performance, formulary breadth, pricing evidence and review signals (traffic/ads/social not retrievable). See research/01_telehealth_companies.md.",Medium-High,https://techcrunch.com/2025/11/19/function-health-closes-298m-series-b-at-a-2-5b-valuation-launches-medical-intelligence/,2026-09-02,research/01_telehealth_companies.json
Superpower,https://superpower.com,Telehealth/clinician-led,Prescription telehealth via licensed clinicians; compounded or approved drugs dispensed by pharmacies,"$199/yr (one 100+ biomarker panel) or $499/yr (two panels) membership; clinician-prescribed peptides/Rx marketplace launched Jan 2026 (13 medications incl. GLP-1s, enclomiphene, HCG, sermorelin, NAD+); formulated 'packs' shipping Aug 2026",2023,"San Francisco, CA","Max Marchione (CEO, co-founder)",Tech-forward longevity consumers,US; state list not verified,Licensed clinicians + compounding pharmacies (not named); plans proprietary peptide products,"Investors Logan Paul, Steve Aoki, Vanessa Hudgens, Giannis Antetokounmpo (Series A)","$30M Series A (Apr 2025) led by Forerunner at >$300M post; further $42M raise to expand peptides (Dealroom/TradedVC, 2026); total ~$72M+",Personalised peptide protocols based on your biomarkers,Diagnostics-to-peptides funnel; 'a new standard of peptides',"Baseline Membership; Sermorelin Injection (marketplace); NAD+; GLP-1s, enclomiphene, HCG (marketplace)",$199/yr (1 panel) or $499/yr (2 panels); unknown (marketplace page not retrievable),no public estimate found,unknown,unknown,not checked,"'Anti-ageing', 'body recomposition' peptide claims; plans to lobby FDA",3,"Proxy scorecard weighted to disclosed funding/performance, formulary breadth, pricing evidence and review signals (traffic/ads/social not retrievable). See research/01_telehealth_companies.md.",Low,https://app.dealroom.co/news/feed/superpower-raises-42m-to-sell-peptides-as-silicon-valley-injects-experimental-drugs,2026-09-02,research/01_telehealth_companies.json
Concierge MD (Concierge MD LA),https://conciergemdla.com,Telehealth/clinician-led,Prescription telehealth via licensed clinicians; compounded or approved drugs dispensed by pharmacies,"In-home and virtual concierge medicine; peptide therapy with optional labs, custom pricing set at consult; peptides shipped for self-administration",unknown,"Los Angeles, CA",unknown,Affluent urban patients (LA and other metros),In-home in served metros; virtual/shipping more broadly (details not verified),unknown,unknown,unknown,"Doctor-guided, approachable peptide therapy","Concierge/house-call model; pricing not published ('transparent, customized pricing')",Peptide therapy,custom (not published),no public estimate found,unknown,unknown,not checked,"Broad benefit list (autoimmune, chronic pain, longevity) largely unsupported",24,"Proxy scorecard weighted to disclosed funding/performance, formulary breadth, pricing evidence and review signals (traffic/ads/social not retrievable). See research/01_telehealth_companies.md.",Medium,https://conciergemdla.com/peptide-therapy/,2026-09-02,research/01_telehealth_companies.json
Peter MD (Peter Holdings),https://getpetermd.com,Telehealth/clinician-led,Prescription telehealth via licensed clinicians; compounded or approved drugs dispensed by pharmacies,"Low-price all-inclusive subscriptions (consults, membership, shipping included): TRT from $79-99/mo; six core peptides $150-400/mo; price-match (20% off)",2021,unknown,"Bryan Henry (President, Peter Holdings; former FNP with endocrinology specialisation)",Price-sensitive men seeking TRT/peptides,Nationwide US (third-party),unknown,unknown,"No funding disclosed; ~14,000 Trustpilot reviews at 4.8 avg (third-party citing Trustpilot)",'Cheapest TRT shop' - most affordable TRT telemedicine,Volume/low-price leader in TRT + peptides,Men's TRT; BPC-157; CJC-1295/Ipamorelin; Sermorelin; GHK-Cu; Semaglutide / Tirzepatide,$150-400/mo range; $79/mo yearly plan; $99/mo monthly (all-inclusive); within $150-400/mo peptide range (third-party),no public estimate found,unknown,"Trustpilot ~4.8/5, ~14,000 reviews (third-party)",not checked,'Cheapest' superlative; BPC-157 during transitional FDA status,9,"Proxy scorecard weighted to disclosed funding/performance, formulary breadth, pricing evidence and review signals (traffic/ads/social not retrievable). See research/01_telehealth_companies.md.",Low,https://www.peptideverdict.com/clinics/peter-md,2026-09-02,research/01_telehealth_companies.json
Defy Medical,https://www.defymedical.com,Telehealth/clinician-led,Prescription telehealth via licensed clinicians; compounded or approved drugs dispensed by pharmacies,"Fee-for-service telehealth: $250 initial consult, $150 follow-ups; medications via online store (defymedicalstore.com); 34 peptides from $160/mo (third-party); TRT/HRT, GLP-1, NAD+",2010,"Tampa, FL (4809 N Armenia Ave Ste 220)","Jasen Bruce (founder, CEO)",Men and women seeking hormone optimization and broad peptide access,US; state list not verified,FDA-registered compounding pharmacies (company-described); in-house store,unknown,Privately held; no funding disclosed; BBB profile exists (rating not retrievable),Broadest peptide formulary; physician-prescribed via compounding pharmacies,Long-established (2010) concierge hormone/peptide clinic; higher-end pricing,Initial consultation; Sermorelin / Ipamorelin; BPC-157; TRT/HRT; GLP-1 programs,$199-250/mo sermorelin (third-party); peptides from $160/mo; $250 initial; $150 follow-up (third-party),no public estimate found,unknown,BBB profile exists; ratings not retrievable this session,not checked,Wide peptide menu includes substances with unclear FDA status,13,"Proxy scorecard weighted to disclosed funding/performance, formulary breadth, pricing evidence and review signals (traffic/ads/social not retrievable). See research/01_telehealth_companies.md.",Medium,https://www.bbb.org/us/fl/tampa/profile/clinic/defy-medical-llc-0653-90292181,2026-09-02,research/01_telehealth_companies.json
Gameday Men's Health,https://gamedaymenshealth.com,Telehealth/clinician-led,Prescription telehealth via licensed clinicians; compounded or approved drugs dispensed by pharmacies,"Franchised walk-in men's clinics (TRT, peptides, ED, weight loss, vitamin injections); same-day start after bloodwork; avg unit revenue ~$1.89M, adjusted net ~$627K (third-party franchise data)",2017,"unknown (Carlsbad, CA widely reported; not verified)",unknown,Men 30-60 wanting in-person TRT,Locations in many states; marketed as serving 50 states (third-party),unknown,unknown,Franchise model; unit economics per third-party (revenue ~$1.89M/unit),"Walk-in, same-day TRT",Brick-and-mortar franchise leader adding sermorelin/BPC-157,TRT; Sermorelin; BPC-157,"~$1,800-3,000/yr (third-party)",no public estimate found,unknown,unknown,not checked,none observed,18,"Proxy scorecard weighted to disclosed funding/performance, formulary breadth, pricing evidence and review signals (traffic/ads/social not retrievable). See research/01_telehealth_companies.md.",Low,https://www.telehealthally.com/providers/gameday-mens-health,2026-09-02,research/01_telehealth_companies.json
Maximus,https://www.maximustribe.com,Telehealth/clinician-led,Prescription telehealth via licensed clinicians; compounded or approved drugs dispensed by pharmacies,"DTC men's health subscriptions: TRT, enclomiphene, sermorelin, GLP-1s, oxytocin/tadalafil (per third parties); at-home testing",2020 (widely reported; not re-verified),"Los Angeles, CA",Dr. Cameron Sepah (founder/CEO) - widely reported; not re-verified this session,"Men 25-50, performance/masculinity positioning",US; state list not verified,unknown,unknown,$15M Series A (2022-08-03) led by Keith Rabois (Founders Fund) with ~20 investors; ranked #7 on FT Americas' Fastest Growing Companies 2026 (Tracxn). NOTE: a Tracxn '$1B+ revenue' figure appears to conflate with Maximus Inc. (NYSE: MMS) and is disregarded.,Pharmaceutical-grade sermorelin under $175/mo; hormone optimization for men,Brand-led men's optimization; conflicting third-party reports on whether peptides beyond sermorelin are offered,Sermorelin; TRT / Enclomiphene; GLP-1 (semaglutide/tirzepatide),under $175/month (third-party),no public estimate found,unknown,unknown,not checked,'Modern fountain of youth' article framing for sermorelin,10,"Proxy scorecard weighted to disclosed funding/performance, formulary breadth, pricing evidence and review signals (traffic/ads/social not retrievable). See research/01_telehealth_companies.md.",Low,https://www.crunchbase.com/organization/maximus-7268,2026-09-02,research/01_telehealth_companies.json
Hone Health,https://honehealth.com,Telehealth/clinician-led,Prescription telehealth via licensed clinicians; compounded or approved drugs dispensed by pharmacies,"Membership ($149/mo Premium per third party) + medications (testosterone ~$28/mo, sermorelin $130/mo); at-home labs; acquired in-home phlebotomy co. ivee (Jan 2025)",2020 (widely reported),"New York, NY (widely reported)","Saad Alam (co-founder, CEO) - widely reported; not re-verified",Men 35+; women's HRT expansion,US; state list not verified,Compounding pharmacies (not named); ivee (owned) for draws,"Angel investors Codie Sanchez, Sam Parr, Shaan Puri, Anthony Pompliano",$33M Series A (Jan 2025) led by Tribe Capital incl. Saudi PIF; ~$39M total; 2025 revenue ~$63M with 160 staff (Latka estimate); target $100M ARR,Physician-supervised hormone and peptide protocols with required labs,Scaled men's hormone platform with sermorelin as core peptide; conflicting reports on BPC-157/ipamorelin availability,"Sermorelin; TRT; Other peptides (reported: Ipamorelin/CJC-1295, BPC-157, PT-141, Thymosin Alpha-1); GLP-1",$130/mo with membership (third-party); $175-225/mo cited elsewhere; ~$28/mo medication + membership (third-party),no public estimate found,unknown,unknown,not checked,none observed,4,"Proxy scorecard weighted to disclosed funding/performance, formulary breadth, pricing evidence and review signals (traffic/ads/social not retrievable). See research/01_telehealth_companies.md.",Medium,https://medcitynews.com/2025/01/telehealth-clinic-hone-health-secures-33m-acquires-home-health-company/,2026-09-02,research/01_telehealth_companies.json
TRT Nation,https://trtnation.com,Telehealth/clinician-led,Prescription telehealth via licensed clinicians; compounded or approved drugs dispensed by pharmacies,"Flat $99/mo TRT with unlimited consults, no membership fee; peptides from $169/mo; compounded tirzepatide $219/mo flat (or $289 month-to-month / $249 on 6-month plan per another source)",unknown,"Tampa, FL (12602 Telecom Dr)",unknown,Price-sensitive men nationwide,All 50 states + DC (third-party),unknown,unknown,unknown,"$99/mo TRT, unlimited physician consults",Budget TRT/peptide clinic with polarised reviews,"TRT; Peptides (CJC-1295/Ipamorelin, Sermorelin, HCG, PT-141); Compounded tirzepatide; Microdose GLP-1 protocol",$219/mo flat any dose (one source); $289 monthly or $249 on 6-mo plan (another source); $99/mo flat; from $129/mo; from $169/mo,no public estimate found,unknown,"Trustpilot 1.9-2.2/5 (~14-28 reviews, 'Poor'); Birdeye 4.9/5 (2,270 reviews); BBB complaints re onboarding delays, phone support, late treatment denial (third-party)",not checked,Self-published 'Top 10 best online TRT clinics' listicle ranks itself,17,"Proxy scorecard weighted to disclosed funding/performance, formulary breadth, pricing evidence and review signals (traffic/ads/social not retrievable). See research/01_telehealth_companies.md.",Low,https://www.trustpilot.com/review/trtnation.com,2026-09-02,research/01_telehealth_companies.json
Joi + Blokes (Blokes / Joi),https://blokes.co / https://choosejoi.co / https://joiandblokes.com,Telehealth/clinician-led,Prescription telehealth via licensed clinicians; compounded or approved drugs dispensed by pharmacies,Diagnostics + hormone optimization + peptides + GLP-1 for men (Blokes) and women (Joi); 1:1 clinician consult program for patients with existing labs (Nov 2025); acquired HerMD,2021,"Denver, CO","Josh Whalen (co-founder, CEO) and Katy Whalen (co-founder)",Men and women 35-60 seeking hormone/longevity care,50 states (company),unknown,unknown,"Bootstrapped to >$50M revenue (Entrepreneur); 50,000+ patients (Beauty Independent); conflicting reports on a 2023 round involving Jazz Venture Partners","Personalized hormone optimization, longevity and preventive wellness",Dual-gender hormone/peptide platform with 'deepest hormone-GH integration' (third-party ranking),"Sermorelin; Hormone therapy (TRT/HRT), thyroid; GLP-1 weight loss","~$199/month (verified by third party against product pages, Apr 2026)",no public estimate found,unknown,unknown,not checked,Longevity framing,5,"Proxy scorecard weighted to disclosed funding/performance, formulary breadth, pricing evidence and review signals (traffic/ads/social not retrievable). See research/01_telehealth_companies.md.",Low,https://www.entrepreneur.com/building-a-business/they-built-a-50-million-business-before-glp-1s-became-mainstream-now-theyre-eyeing-this-new-health-frontier,2026-09-02,research/01_telehealth_companies.json
