name,vertical,primary_platform,profiles,followers,tier,website,email,brands_or_notes,crossover_flag,break_fit,crossover,reachability,confidence,source,est_per_post_usd,est_monthly_usd,documented_deal
Raja Richter (The Big Jackpot),gambling-casino,YouTube,YouTube @TheBigJackpot ; IG @thebigjackpot,macro,macro,,,StreamRollers 2026 #1 casino influencer; high-limit slots,gambling,3,3,3,med,StreamRollers/Feedspot/press,"$6,000-30,000","$90,000-700,000+",
Vegas Matt,gambling-casino,YouTube,YouTube @VegasMatt,~1M+ ESTIMATE,macro,,,StreamRollers top-10; Vegas slots,gambling,3,3,3,med,StreamRollers/Feedspot/press,"$6,000-30,000","$90,000-700,000+",
Lady Luck HQ,gambling-casino,YouTube,YouTube @LadyLuckHQ,macro,macro,,,StreamRollers top-10; slots,gambling,3,3,3,med,StreamRollers/Feedspot/press,"$6,000-30,000","$90,000-700,000+",
Brian Christopher (BCSlots),gambling-casino,YouTube,YouTube @BrianChristopherSlots ; site bcslots.com,macro,macro,,,StreamRollers top-10; runs sweeps + community,gambling,3,3,4,med,StreamRollers/Feedspot/press,"$6,000-30,000","$90,000-700,000+",
NG Slot,gambling-casino,YouTube,YouTube @NGSlot,macro,macro,,,StreamRollers top-10; high-limit slots,gambling,3,3,3,med,StreamRollers/Feedspot/press,"$6,000-30,000","$90,000-700,000+",
D Lucky Experience,gambling-casino,TikTok,TikTok @dluckyexperience ; YouTube,~829k TT,macro,,,StreamRollers top-10; viral slot wins,gambling,3,3,3,med,StreamRollers/Feedspot/press,"$6,000-30,000","$90,000-700,000+",
Mr. Hand Pay,gambling-casino,YouTube,YouTube @MrHandPay,macro,macro,,,StreamRollers top-10; slots,gambling,3,3,3,med,StreamRollers/Feedspot/press,"$6,000-30,000","$90,000-700,000+",
Pompsie Slots,gambling-casino,YouTube,YouTube (Pompsie),mid,mid,,,StreamRollers top-10,gambling,3,3,2,med,StreamRollers/Feedspot/press,"$1,500-6,000","$27,000-90,000",
PokerMetarb,gambling-casino,YouTube,YouTube (PokerMetarb),mid,mid,,,StreamRollers top-10,gambling,3,3,2,med,StreamRollers/Feedspot/press,"$1,500-6,000","$27,000-90,000",
Maherco,gambling-casino,Kick,Kick https://kick.com/maherco ; YouTube (4M),~662k Kick,macro,,,Breakout 2025-26; Stake slots on Kick,gambling,3,3,2,med,StreamRollers/Feedspot/press,"$6,000-30,000","$90,000-700,000+",Stake-funded slots on Kick (breakout 2025-26) [igamingtoday]
m0E_tv (Mohamad Assad),gambling-casino,Kick,Kick/Twitch @m0e_tv,macro,macro,,,CS pro -> Stake slots on Kick,gambling,3,3,2,med,StreamRollers/Feedspot/press,"$6,000-30,000","$90,000-700,000+",
CasinoDaddy,gambling-casino,Twitch,Twitch https://twitch.tv/casinodaddy,macro,macro,,,"Highroll slots, maxwin chasing (group)",gambling,3,3,3,med,StreamRollers/Feedspot/press,"$6,000-30,000","$90,000-700,000+",
Taour (Noamane Boukhari),gambling-casino,Kick,Kick (Taour),mid-macro,mid,,,Table games specialist; plays Stake,gambling,3,3,2,med,StreamRollers/Feedspot/press,"$1,500-6,000","$27,000-90,000",
Tiagovski,gambling-casino,Kick,Kick/Twitch @Tiagovski555,mid,mid,,,Crowdcreate top-gambling list,gambling,3,3,2,med,StreamRollers/Feedspot/press,"$1,500-6,000","$27,000-90,000",
teufeurs,gambling-casino,Twitch,Twitch @teufeurs,mid,mid,,,Crowdcreate top-gambling list (FR),gambling,3,3,2,med,StreamRollers/Feedspot/press,"$1,500-6,000","$27,000-90,000",
YoutubeVLR,gambling-casino,YouTube,YouTube (VLR),mid,mid,,,Crowdcreate top-gambling list,gambling,3,3,2,med,StreamRollers/Feedspot/press,"$1,500-6,000","$27,000-90,000",
SweetFlips (group),gambling-casino,Kick,"Kick @SweetFlips (Dennylo, Damil, Jacko, Pingue, Baka, Motion, Blendz)",~32k Kick,micro,,,Group slots channel; ranked #4 weekly hrs May-2026,gambling,3,3,2,med,StreamRollers/Feedspot/press,"$175-1,500","$4,400-27,000",
Classybeef (group),gambling-casino,Kick,"Kick https://kick.com/classybeef (Georgi, Jonte, Biggo, Freddy, Max, Rune)",~194k,mid,,,6-member Malta slots team,gambling,3,3,2,med,StreamRollers/Feedspot/press,"$1,500-6,000","$27,000-90,000",
All Casino Action,gambling-casino,YouTube,YouTube (All Casino Action),mid,mid,,,Feedspot casino-100,gambling,3,3,2,med,StreamRollers/Feedspot/press,"$1,500-6,000","$27,000-90,000",
Chipmonkz Slots,gambling-casino,YouTube,YouTube (Chipmonkz),mid,mid,,,Feedspot casino-100 (UK slots),gambling,3,3,2,med,StreamRollers/Feedspot/press,"$1,500-6,000","$27,000-90,000",
Toaster (Toaster Gambles),gambling-casino,YouTube,YouTube/Kick (Toaster),mid,mid,,,Feedspot casino-100,gambling,3,3,2,med,StreamRollers/Feedspot/press,"$1,500-6,000","$27,000-90,000",
Cabrzy,gambling-casino,YouTube,YouTube/Kick (Cabrzy),mid,mid,,,Feedspot casino-100,gambling,3,3,2,med,StreamRollers/Feedspot/press,"$1,500-6,000","$27,000-90,000",
LetsGiveItASpin (Kim Hultman),gambling-casino,YouTube,YouTube @LetsGiveItASpin,mid-macro,mid,,,Feedspot casino-100; CasinoGrounds founder,gambling,3,3,3,med,StreamRollers/Feedspot/press,"$1,500-6,000","$27,000-90,000",
CasinoGrounds,gambling-casino,YouTube,YouTube (CasinoGrounds),mid,mid,,,Community/brand,gambling,3,3,3,med,StreamRollers/Feedspot/press,"$1,500-6,000","$27,000-90,000",
TactPlaysGames,gambling-casino,YouTube,YouTube (Tact),mid,mid,,,Feedspot casino-100,gambling,3,3,2,med,StreamRollers/Feedspot/press,"$1,500-6,000","$27,000-90,000",
The Bandit (NightRush/Slot Video),gambling-casino,YouTube,YouTube (The Bandit),mid,mid,,,Feedspot casino-100,gambling,3,3,2,med,StreamRollers/Feedspot/press,"$1,500-6,000","$27,000-90,000",
AyeZee,gambling-casino,Kick,Kick/YouTube @AyeZee,mid-macro,mid,,,Slots/casino,gambling,3,3,2,med,StreamRollers/Feedspot/press,"$1,500-6,000","$27,000-90,000",
GambleDude,gambling-casino,YouTube,YouTube (GambleDude),mid,mid,,,Feedspot casino-100,gambling,3,3,2,med,StreamRollers/Feedspot/press,"$1,500-6,000","$27,000-90,000",
Play NJ Slot Guy,gambling-casino,YouTube,YouTube (Play NJ Slot Guy),micro-mid,micro,,,High-limit slots tour,gambling,3,3,2,med,StreamRollers/Feedspot/press,"$175-1,500","$4,400-27,000",
Fruity Slots (Josh/Jamie/Scottie),gambling-casino,YouTube,YouTube @FruitySlots,mid,mid,,,UK slots group,gambling,3,3,3,med,StreamRollers/Feedspot/press,"$1,500-6,000","$27,000-90,000",
labitandrew (Slot Machine Guy),gambling-casino,TikTok,TikTok @labitandrew,~929k TT,macro,,,Feedspot gambling-TikTok #1,gambling,3,3,2,med,StreamRollers/Feedspot/press,"$6,000-30,000","$90,000-700,000+",
slothqueen_170,gambling-casino,TikTok,TikTok @slothqueen_170,~538k TT,macro,,,Feedspot gambling-TikTok,gambling,3,3,2,med,StreamRollers/Feedspot/press,"$6,000-30,000","$90,000-700,000+",
topgambler.top,gambling-casino,TikTok,TikTok @topgambler.top,~455k TT,mid-macro,,,Feedspot gambling-TikTok,gambling,3,3,2,med,StreamRollers/Feedspot/press,"$6,000-30,000","$90,000-700,000+",
aronscasino,gambling-casino,TikTok,TikTok @aronscasino,~339k TT,mid,,,Feedspot gambling-TikTok,gambling,3,3,2,med,StreamRollers/Feedspot/press,"$1,500-6,000","$27,000-90,000",
thequeenofmedia,gambling-casino,TikTok,TikTok @thequeenofmedia,~79.8k TT,micro,,,Feedspot gambling-TikTok (micro),gambling,3,3,2,med,StreamRollers/Feedspot/press,"$175-1,500","$4,400-27,000",
thadrunkgambler,gambling-casino,TikTok,TikTok @thadrunkgambler,~64k TT,micro,,,Feedspot gambling-TikTok (micro),gambling,3,3,2,med,StreamRollers/Feedspot/press,"$175-1,500","$4,400-27,000",
ahmed_elpoker,gambling-casino,TikTok,TikTok @ahmed_elpoker,~62.3k TT,micro,,,Feedspot gambling-TikTok (micro),gambling,3,3,2,med,StreamRollers/Feedspot/press,"$175-1,500","$4,400-27,000",
jstros_,gambling-casino,TikTok,TikTok @jstros_,~62.1k TT,micro,,,Feedspot gambling-TikTok (micro),gambling,3,3,2,med,StreamRollers/Feedspot/press,"$175-1,500","$4,400-27,000",
binkyloveslots,gambling-casino,TikTok,TikTok @binkyloveslots,~62.1k TT,micro,,,Feedspot gambling-TikTok (micro),gambling,3,3,2,med,StreamRollers/Feedspot/press,"$175-1,500","$4,400-27,000",
jommypogs,gambling-casino,TikTok,TikTok @jommypogs,~61.4k TT,micro,,,Feedspot gambling-TikTok (micro),gambling,3,3,2,med,StreamRollers/Feedspot/press,"$175-1,500","$4,400-27,000",
EataHoagie,gambling-casino,X,X @EataHoagie,~3.6k X,nano,,,Micro/nano gambling Twitter,gambling,3,3,2,med,StreamRollers/Feedspot/press,$50-300,"$450-4,400",
hideousslots,gambling-casino,X,X @hideousslots,~3.9k X,nano,,,Micro/nano gambling Twitter,gambling,3,3,2,med,StreamRollers/Feedspot/press,$50-300,"$450-4,400",
abbypoker_,gambling-casino,X,X @abbypoker_,~5.3k X,nano,,,Micro/nano poker Twitter,gambling,3,3,2,med,StreamRollers/Feedspot/press,$50-300,"$450-4,400",
gamblers.gambling,gambling-casino,Instagram,IG https://instagram.com/gamblers.gambling (154k),~154k IG,mid,,,'Fastest growing gambling community' - memes/news/culture,gambling,3,3,2,med,onlinecasinoreports,"$1,500-6,000","$27,000-90,000",
casino_memes,gambling-casino,Instagram,IG https://instagram.com/casino_memes,~2k IG,nano,,,Casino memes content page,gambling,2,3,2,med,press,$50-300,"$450-4,400",
BookItWithTrent,sports-betting,TikTok,TikTok @BookItWithTrent,~400k,mid-macro,,,Sports betting; 'terrible bets' persona,gambling,2,3,2,med,bestodds,"$6,000-30,000","$90,000-700,000+",
corpcorey,sports-betting,TikTok,TikTok @corpcorey (271.8k),~271.8k,mid,,,Sports betting content,gambling,2,3,2,med,bestodds,"$1,500-6,000","$27,000-90,000",
jbigsdfs,sports-betting,TikTok,TikTok @jbigsdfs (106.4k),~106.4k,mid,,,DFS/sports betting,gambling,2,3,2,med,bestodds,"$1,500-6,000","$27,000-90,000",
MattyBetss,sports-betting,TikTok,TikTok @MattyBetss (100k+),~100k+,mid,,,Sports betting education/analysis,gambling,2,3,2,med,bestodds,"$1,500-6,000","$27,000-90,000",
erinkatedolan,sports-betting,TikTok,TikTok @erinkatedolan (81.3k),~81.3k,micro,,,Sports betting content,gambling,2,3,2,med,bestodds,"$175-1,500","$4,400-27,000",
takingthepoints,sports-betting,TikTok,TikTok @takingthepoints (60.4k),~60.4k,micro,,,Sports betting picks,gambling,2,3,2,med,bestodds,"$175-1,500","$4,400-27,000",
weberbets,sports-betting,TikTok,TikTok @weberbets (40.4k),~40.4k,micro,,,Sports betting content (micro),gambling,2,3,2,med,bestodds,"$175-1,500","$4,400-27,000",
codycoverspreads,sports-betting,TikTok,TikTok @codycoverspreads (27.2k),~27.2k,micro,,,Sports betting content (micro),gambling,2,3,2,med,bestodds,"$175-1,500","$4,400-27,000",
brucie.sports,sports-betting,TikTok,TikTok @brucie.sports (23.9k),~23.9k,micro,,,Sports betting content (micro),gambling,2,3,2,med,bestodds,"$175-1,500","$4,400-27,000",
lucyburdge1,sports-betting,TikTok,TikTok @lucyburdge1 (19.5k),~19.5k,micro,,,Sports betting content (micro),gambling,2,3,2,med,bestodds,"$175-1,500","$4,400-27,000",
gurusportsbetting,sports-betting,TikTok,TikTok @gurusportsbetting (19.3k),~19.3k,micro,,,Sports betting content (micro),gambling,2,3,2,med,bestodds,"$175-1,500","$4,400-27,000",
clvkingbets,sports-betting,TikTok,TikTok @clvkingbets (18.8k),~18.8k,micro,,,Sports betting content (micro),gambling,2,3,2,med,bestodds,"$175-1,500","$4,400-27,000",
BenderWins Sports Betting,sports-betting,TikTok,TikTok @BenderWinsSportsBetting,micro ESTIMATE,micro,,,Pro bettor (Ryan Bender); sells + free picks,gambling,2,3,2,med,press,"$175-1,500","$4,400-27,000",
The Juice Betting,sports-betting,TikTok,TikTok @TheJuiceBetting,mid ESTIMATE,mid,,,Long-form gambling stories (Dan Worthington),gambling,2,3,2,med,press,"$1,500-6,000","$27,000-90,000",
