creator,tier,platforms,follower_counts,business_contact,primary_format,referral_code,example_links,engagement_rate,brand_fit,audience_quality,est_partnership_cost,reachability,priority_score,rationale
Rydurz,micro,X https://x.com/rydurz; Kick https://kick.com/rydurz; landing https://coderydurz.com,"Kick ~24.2k, ~900-1000 avg viewers (snippet 'as of Sept 2025'; single-source)",none found,Livestream slots/blackjack + PackDraw openings; X sponsorship + giveaway,rydurz (PackDraw via coderydurz.com; also Roobet),https://x.com/rydurz/status/1782243539474059516,N/A,5,3,$500-3k ESTIMATE,2,3.50,Openly-labeled PackDraw sponsorship with real code + self-published code hub. Mid-confidence ~24k Kick figure; giveaway-driven engagement.
OneEyedGregg,micro,Kick https://kick.com/oneeyedgregg; YouTube https://www.youtube.com/@Oneeyedgregg; Twitch https://www.twitch.tv/oneeyedgregg; X https://x.com/oneeyedgregg; hub https://oeg.gg,Kick ~14.9k (snippet; date unspecified),none found (oeg.gg is the deliberate public code hub),Nightly livestreams + X clips,OEG (PackDraw and Roobet via oeg.gg),https://x.com/OneEyedGregg/status/1938343756555825352,N/A,5,3,$100-500 ESTIMATE,2,3.50,Multi-platform affiliate running OEG across PackDraw/Roobet with own landing hub. ~15k Kick figure is single-snippet.
GW1917,micro-mid,YouTube https://www.youtube.com/@GW1917gaming; site https://gw1917gaming.com,N/A,none found (gw1917gaming.com is public hub; no email read),Dedicated big-deposit videos; multi-site affiliate,"PackDraw code (string not observed; also Hypedrop, EmpireDrop, MyBookie)",https://www.youtube.com/watch?v=R85vIxj8cyU ; https://www.youtube.com/watch?v=VlxWhOftzPU,N/A,5,3,$500-3k ESTIMATE,2,3.50,"Confirmed PackDraw promoter (real 'all in' videos) and multi-site affiliate. Exact code, contact, and counts unverified."
Svensk Drama,micro,YouTube https://www.youtube.com/@SvenskDrama,"~67.8k subs, 567 videos, 11M+ views, since 2016 (youtubers.me snippet, 2026-06-24; single-source)",none found,CSGORoll partnered case-opening / tournaments (Swedish),SvenskDrama (CSGORoll),CSGORoll Creator Showdown roster (standalone promo URL not isolated),N/A,5,3,$100-500 ESTIMATE,1,3.30,Confirmed CSGORoll partner; only creator with a (single-source) follower number. No public contact found.
RobZn,micro,Kick https://kick.com/robznnncs,N/A,none found,Live Kick gambling streams,CSGORoll partnered creator (personal code unconfirmed),https://kick.com/robznnncs,N/A,5,3,$100-500 ESTIMATE,1,3.30,"Named in CSGORoll creator network; live-stream venue. Code specifics, contact, and counts unverified."
Orangie,mid-macro,Twitch https://www.twitch.tv/orangieyt; Kick https://kick.com/orangie; X https://x.com/orangie; YouTube (PackDraw 'world record' uploads),N/A,none found,Live pack-opening streams + 'world record' unboxing VODs,ORANGIE (PackDraw -> packdraw.com/?ref=orangie),https://www.youtube.com/watch?v=o2pvnwCtc0U ; https://x.com/orangie,N/A,5,3,$3k+ ESTIMATE,1,3.30,"Flagship PackDraw affiliate code (HIGH confidence code->brand). BUT 'Orangie' is a crowded namespace; exact human/profile mapping only MEDIUM, all counts N/A. Eyeball the profile manually before outreach."
CrimsonYT,micro,YouTube https://www.youtube.com/channel/UCI2grI-9aZh9kyuPxWAFvxg,N/A,none found,Full-length 'try the site' / event-box unboxing,CrimsonYT (RillaBox -> rillabox.com/crimsonyt),https://www.youtube.com/watch?v=IvxmgNcehDk ; https://www.youtube.com/watch?v=REIS34hpm4U,N/A,5,3,$100-500 ESTIMATE,1,3.30,Strongest verified RillaBox creator: code + dedicated landing page + real videos + channel URL all corroborated. Counts and contact unverified.
lito_gmbl,mid,TikTok https://www.tiktok.com/@lito_gmbl; X https://twitter.com/lito_gmbl,"TikTok ~163.3k ESTIMATE (snippet, ~2023-era content; not eyeballed)",none found,Short-form TikTok unboxing/battle clips,HypeDrop deposit code paired w/ Stake tip (string unconfirmed),https://www.tiktok.com/@lito_gmbl/video/7203918806085864746 ; https://www.tiktok.com/@lito_gmbl/video/7206035642298551595,N/A,5,3,$500-3k ESTIMATE,1,3.30,"Active short-form HypeDrop+Stake creator with mid TikTok reach; good Shorts/TikTok ad fit. Code string, live counts, contact unverified."
TylerPlaysLive,micro-mid,YouTube https://www.youtube.com/@tylerplayslive26; X https://x.com/tylerplayslive; TikTok https://www.tiktok.com/@tylerplaylive; Kick kick.com/tylerplayslive,N/A (one post notes being followed by @stevewilldoit),none found (operates via 'BlissBox LLC' FB page; not a booking email),Short-form clips + live streams + giveaways,Tylerplayslive / TYLR (PackDraw; not confirmed on RillaBox),https://x.com/tylerplayslive/status/1992601486006874525,N/A,4,3,$100-500 ESTIMATE,2,3.15,"Real multi-platform PackDraw promoter. Brand fit slightly lower (scattered, PackDraw-side). Counts and exact code unverified."
hypedropcrazybattles,nano-micro,TikTok https://www.tiktok.com/@hypedropcrazybattles,N/A,none found,Short-form HypeDrop case-battle clips,TIKTOK100 (HypeDrop -> 5% deposit bonus),https://www.tiktok.com/@hypedropcrazybattles/video/7254565173657161003,N/A,5,2,$100-500 ESTIMATE,1,3.10,Single-topic HypeDrop battle account with attested code; cheap volume play. Counts/contact unverified; likely small.
golddigger_5,nano-micro,TikTok https://www.tiktok.com/@golddigger_5,N/A,none found,Short-form HypeDrop unboxing,GOLDDIGGER (HypeDrop -> 3 free cases + 5% bonus),Surfaced via #hypedrop discover pages (individual post not captured),N/A,5,2,$100-500 ESTIMATE,1,3.10,Attested HypeDrop code + handle; low-cost short-form filler. Profile not directly verified.
Sebknowsbest,nano-micro,TikTok (handle Sebknowsbest),N/A,none found,Short-form HypeDrop win clips,Sebknowsbest (HypeDrop),Surfaced via TikTok 'code hypedrop' discover pages,N/A,5,2,$100-500 ESTIMATE,1,3.10,Own-name HypeDrop code attested in a snippet only. Lowest verification; treat as a lead.
Paul Cuffaro,macro,YouTube https://www.youtube.com/channel/UCKFtfFitaK83yBc0rlg9m1A; store https://paulcuffarobrand.com,macro ESTIMATE (established animals/fishing/lifestyle YouTuber; no count observed),none found,Likely mid-roll sponsor read in standard uploads,CUFFARO (PackDraw) - UNCONFIRMED (aggregator-only),No primary PackDraw promo post verified,N/A,3,4,$3k+ ESTIMATE,2,3.00,"Large organic audience but ADJACENT niche (lifestyle, not case-opening). Sponsorship asserted by 3rd-party tracker; CUFFARO code is aggregator-only. Needs primary verification before outreach."
OnlyCrunchy,unknown,"X https://x.com/onlycrunchy; Kick (crunchyy, unverified)",N/A,none found,X posts + ETH giveaways,CRUNCHY (PackDraw/Roobet) - tentative,https://x.com/OnlyCrunchy/status/1733446924353831093,N/A,4,3,$100-500 ESTIMATE,1,2.95,"Real PackDraw 'site was nice to me' post exists; code tentative, tier unknown, no contact. Lowest-priority lead."
