rank,creator,tier_confidence,primary_platform,profile_url,follower_count,count_basis,audience_tier,range_flag,brands_promoted,referral_code,business_contact,primary_format,example_link,confidence,notes
23,Bouchonnoir,1-verified,YouTube,YouTube https://www.youtube.com/@Bouchonnoir,"2,850 YT (LunarCrush 2026-07-19)",LunarCrush verified,nano,in,"CSGORoll, SkinClub",BOUCHON,none (bouchonnoir.gg hub),Long-form openings / battles (FR),,med,Runs own leaderboard infra.
24,GW1917,1-verified,YouTube,YouTube https://www.youtube.com/@GW1917gaming,453 YT (LunarCrush 2026-07-19),LunarCrush verified,nano,in,"PackDraw, Hypedrop, EmpireDrop",PackDraw code (string unseen),none (gw1917gaming.com),Dedicated big-deposit videos,,med,
25,Sloth (SlothCSGO),1-verified,YouTube,YouTube https://www.youtube.com/@SlothCSGO ; X https://x.com/slothhcsgo,"5,880 YT (LunarCrush 2026-07-19)",LunarCrush verified,nano,in,CSGORoll,SLOTH,none (slothrewards.com hub),Long-form 'all-in' sessions,,med,
26,TylerPlaysLive,1-verified,YouTube,YouTube https://www.youtube.com/@tylerplayslive26 ; TikTok https://www.tiktok.com/@tylerplaylive ; X https://x.com/tylerplayslive ; Kick https://kick.com/tylerplayslive,N/A,tier-estimate (unverified),micro-mid,in,PackDraw,Tylerplayslive / TYLR,none (BlissBox LLC FB page),Short-form + live + giveaways,,low-med,TikTok handle spelled @tylerplaylive; others tylerplayslive.
27,mysterymilo007,1-verified,Instagram,Instagram https://www.instagram.com/mysterymilo007/,73k IG (2026-07-18 snippet),observed,micro,in,RillaBox,none seen,"none (also Snap @mysterymilo, TikTok)",Reels IRL unboxing,,high,NEW. Genuine individual unboxing creator ('Mystery Box GOAT').
28,Svensk Drama,1-verified,YouTube,YouTube https://www.youtube.com/@SvenskDrama,"~67.8k SUBS (2026-06-24, single-source)",observed,micro,in,CSGORoll,SvenskDrama,none,Tournaments / openings (SE),,med,Only creator with a (single-source) count.
29,mysterypacks.de,1-verified,TikTok,TikTok https://www.tiktok.com/@mysterypacks.de,52.1k TikTok (2026-07-18),observed,micro,in,MysteryPacks (sports-jersey packs),N/A,none,Mystery-pack unboxing (seller acct),,med,"NEW. Seller/brand-ish account, not a pure influencer."
30,Jules (Julsy),1-verified,YouTube,YouTube https://www.youtube.com/channel/UCrUFQtoCMdDZ06whZQodFuA ; X https://x.com/JulsyCS ; Kick https://kick.com/JULSY,N/A,tier-estimate (unverified),micro,in,CSGORoll (branded case),JULES,none,Long-form + live Kick,,med,
31,RobZn,1-verified,Kick,Kick https://kick.com/robznnncs,N/A,tier-estimate (unverified),micro,in,CSGORoll,personal code unconfirmed,none,Live Kick streams,,low-med,
32,Curly (The Curly Fella),3-niche-relevant,TikTok,https://www.tiktok.com/@thecurlyfella,N/A,tier-estimate (unverified),unknown,in,case-opening niche (brand tie TBD),TBD,none,CS2 case-opening clips,,low,Real niche creator; confirm which target brand (if any) they promote + live counts
33,Rydurz,1-verified,Kick,Kick https://kick.com/rydurz ; X https://x.com/rydurz,"12,801 X (LunarCrush 2026-07-19)",LunarCrush verified,micro,in,PackDraw (+Roobet),rydurz,none (coderydurz.com hub),Livestream + X sponsorship/giveaway,,med,
34,@the_happy_budget,3-niche-relevant,TikTok,https://www.tiktok.com/@the_happy_budget,N/A,tier-estimate (unverified),micro,in,IRL mystery box (ADJACENT; brand tie TBD),TBD,none,sneaker mystery-box unboxing (ADJACENT),,low,Real niche creator; confirm which target brand (if any) they promote + live counts
35,@winonakicks,3-niche-relevant,TikTok,https://www.tiktok.com/@winonakicks,N/A,tier-estimate (unverified),micro,in,IRL mystery box (ADJACENT; brand tie TBD),TBD,none,sneaker mystery-box unboxing (ADJACENT),,low,Real niche creator; confirm which target brand (if any) they promote + live counts
36,lacedupny (Laced Up Worldwide),1-verified,Instagram,Instagram https://www.instagram.com/lacedupny/,~20k IG ESTIMATE (pikdo mirror 2026-07-18),observed,micro,in,Sneaker IRL mystery boxes (ADJACENT),none seen,retail store (multi-location),Reels IRL unboxing,,low-med,"NEW. ADJACENT niche (sneaker mystery boxes, own product)."
37,@culturekicks,3-niche-relevant,TikTok,https://www.tiktok.com/@culturekicks,N/A,tier-estimate (unverified),unknown,in,IRL mystery box (ADJACENT; brand tie TBD),TBD,none,sneaker mystery-box unboxing (ADJACENT),,low,Real niche creator; confirm which target brand (if any) they promote + live counts
38,@soleloco,3-niche-relevant,TikTok,https://www.tiktok.com/@soleloco,N/A,tier-estimate (unverified),unknown,in,IRL mystery box (ADJACENT; brand tie TBD),TBD,none,"sneaker mystery-box unboxing, Las Vegas (ADJACENT)",,low,Real niche creator; confirm which target brand (if any) they promote + live counts
39,OneEyedGregg,1-verified,Kick,Kick https://kick.com/oneeyedgregg ; YouTube https://www.youtube.com/@Oneeyedgregg ; Twitch https://www.twitch.tv/oneeyedgregg ; X https://x.com/oneeyedgregg,Kick ~14.9k (snippet),observed,micro,in,"PackDraw, Roobet",OEG,none (oeg.gg hub),Nightly livestreams + clips,,med,
40,@air.jumps.official,3-niche-relevant,TikTok,https://www.tiktok.com/@air.jumps.official,N/A,tier-estimate (unverified),unknown,in,IRL mystery box (ADJACENT; brand tie TBD),TBD,none,mini sneaker mystery-box unboxing (ADJACENT),,low,Real niche creator; confirm which target brand (if any) they promote + live counts
41,@ioannalaou,3-niche-relevant,TikTok,https://www.tiktok.com/@ioannalaou,N/A,tier-estimate (unverified),unknown,in,IRL mystery box (ADJACENT; brand tie TBD),TBD,none,Rolex/watch mystery-box unboxing (IcyBox-adjacent),,low,Real niche creator; confirm which target brand (if any) they promote + live counts
42,ChrisG,1-verified,YouTube,YouTube https://www.youtube.com/watch?v=MD6zLZVgLeY,N/A,tier-estimate (unverified),nano-micro,in,DaddySkins,CHRISG,tiltedtwinz@pm.me (public email),Dedicated promo video,,low,ONLY creator with a public business email.
43,emilyyyrosess,1-verified,Instagram,Instagram https://www.instagram.com/emilyyyrosess/,N/A,tier-estimate (unverified),nano-micro,in,IRL Disney pin mystery packs (ADJACENT),none seen,none,Reels IRL unboxing,,med,NEW. ADJACENT niche.
44,golddigger_5,1-verified,TikTok,TikTok https://www.tiktok.com/@golddigger_5,N/A,tier-estimate (unverified),nano-micro,in,HypeDrop,GOLDDIGGER,none,Short-form unboxing,,low,
45,hypedropcrazybattles,1-verified,TikTok,TikTok https://www.tiktok.com/@hypedropcrazybattles,N/A,tier-estimate (unverified),nano-micro,in,HypeDrop,TIKTOK100,none,Short-form battle clips,,low-med,
46,Sebknowsbest,1-verified,TikTok,TikTok https://www.tiktok.com/@sebknowsbest,N/A,tier-estimate (unverified),nano-micro,in,HypeDrop,Sebknowsbest,none,Short-form win clips,,low,
47,tshockz22,1-verified,TikTok,TikTok https://www.tiktok.com/@tshockz22,N/A,tier-estimate (unverified),nano-micro,in,PackDraw,Kaslik,none,Short-form case-opening / promo shoutout,,high,NEW. Clearest new micro TikTok fit; code Kaslik -> PackDraw.
48,CrimsonYT,1-verified,YouTube,YouTube https://www.youtube.com/channel/UCI2grI-9aZh9kyuPxWAFvxg ; X https://x.com/CrimsonYT101,~5k YT SUBS (SERP),observed,nano-micro,in,RillaBox,CrimsonYT,none,Full-length 'try the site' unboxing,,med,Strongest verified RillaBox creator; X handle @CrimsonYT101.
49,unboxdisneypinco,1-verified,Instagram,Instagram https://www.instagram.com/unboxdisneypinco/,"2,751 IG (2026-07-18)",observed,nano,in,IRL Disney pin packs (ADJACENT),none seen,none,Reels IRL unboxing (on hiatus),,med,NEW. ADJACENT niche.
50,csgo.gambling,1-verified,TikTok,TikTok https://www.tiktok.com/@csgo.gambling,N/A,tier-estimate (unverified),unknown,in,"CSGORoll, HypeDrop",none seen,none,Short-form case-opening clips,,low-med,NEW. Topical account.
51,dizzydankss (DizzyDanks24),1-verified,TikTok,TikTok https://www.tiktok.com/@dizzydankss,N/A,tier-estimate (unverified),unknown,in,HypeDrop,Dizzy,none,Short-form unboxing,,med,NEW.
52,hypedropbalotelli,1-verified,TikTok,TikTok https://www.tiktok.com/@hypedropbalotelli,N/A,tier-estimate (unverified),unknown,in,HypeDrop,BALOTELLI,none,Short-form unboxing / promo,,low-med,NEW.
53,kelvinmboik,1-verified,TikTok,TikTok https://www.tiktok.com/@kelvinmboik,N/A,tier-estimate (unverified),unknown,in,SkinClub,none identified,none,Short-form case-opening / promo clips,,med,NEW. Only verifiable SkinClub TikTok creator handle.
54,laceduphollywood,1-verified,Instagram,Instagram https://www.instagram.com/laceduphollywood/,N/A,tier-estimate (unverified),unknown,in,Sneaker IRL mystery boxes (ADJACENT),none seen,retail store,Reels IRL unboxing,,low,NEW. ADJACENT niche.
55,OnlyCrunchy,1-verified,X,X https://x.com/onlycrunchy,N/A,tier-estimate (unverified),unknown,in,"PackDraw, Roobet",CRUNCHY (tentative),none,X posts + ETH giveaways,,low,
56,pizza_god1 (Kody Garrett),1-verified,TikTok,TikTok https://www.tiktok.com/@pizza_god1,N/A,tier-estimate (unverified),unknown,in,HypeDrop,KODYG,none,Short-form unboxing,,low-med,NEW.
57,quickhypedrop,1-verified,TikTok,TikTok https://www.tiktok.com/@quickhypedrop,N/A,tier-estimate (unverified),unknown,in,HypeDrop,none confirmed,none,Short-form mystery-box unboxing,,med,NEW.
58,rillabox.openings,1-verified,TikTok,TikTok https://www.tiktok.com/@rillabox.openings,N/A,tier-estimate (unverified),unknown,in,RillaBox,none seen,none,Short-form unboxing,,low-med,NEW. Topical account.
59,twitch.tvkushti_ (kushti_),1-verified,Instagram,Instagram https://www.instagram.com/twitch.tvkushti_/,N/A,tier-estimate (unverified),unknown,in,CSGORoll,none seen,none,Reels,,med,NEW. Real creator; example reel older (2023).
60,@harrisonevel,2-code-confirmed,Instagram,,N/A,pending,unknown,in,Sneaker IRL boxes (ADJACENT),none,none,code/name confirmed; profile+format to verify,,low,"Real code/name; resolve handle, counts, platform. named sneaker-unboxing creator"
61,@yankeekicks,2-code-confirmed,Instagram/YouTube,,N/A,pending,unknown,in,Sneaker IRL boxes (ADJACENT),none,none,code/name confirmed; profile+format to verify,,low,"Real code/name; resolve handle, counts, platform. named sneaker-unboxing creator"
62,ANONYT,2-code-confirmed,YouTube,,N/A,pending,unknown,in,Key-Drop,ANONYT,none,code/name confirmed; profile+format to verify,,low,"Real code/name; resolve handle, counts, platform. creator-tied Key-Drop code"
63,ArrowCS,2-code-confirmed,Twitch,,N/A,pending,unknown,in,SkinClub,(event partner),none,code/name confirmed; profile+format to verify,,low-med,"Real code/name; resolve handle, counts, platform. SkinClub $240k creator-case event participant; real CS2 case streamer"
64,BETIX,2-code-confirmed,TBD,,N/A,pending,unknown,in,Key-Drop,BETIX,none,code/name confirmed; profile+format to verify,,low,"Real code/name; resolve handle, counts, platform. creator-tied Key-Drop code"
65,BINROLL,2-code-confirmed,TBD,,N/A,pending,unknown,in,PackDraw,BINROLL,none,code/name confirmed; profile+format to verify,,low-med,"Real code/name; resolve handle, counts, platform. PackDraw creator code seen 2026"
66,coindev (coindevclips),2-code-confirmed,TikTok/YouTube,,N/A,pending,unknown,in,PackDraw,coindev,none,code/name confirmed; profile+format to verify,,low-med,"Real code/name; resolve handle, counts, platform. 'coindevclips' PackDraw account referenced"
67,crispy15,2-code-confirmed,TBD,,N/A,pending,unknown,in,PackDraw,crispy15,none,code/name confirmed; profile+format to verify,,low-med,"Real code/name; resolve handle, counts, platform. handle-style PackDraw code"
68,Devon Gard,2-code-confirmed,YouTube/LinkedIn,,N/A,pending,unknown,in,PackDraw,DEVN,none,code/name confirmed; profile+format to verify,,low-med,"Real code/name; resolve handle, counts, platform. named creator w/ PackDraw code DEVN"
69,hargs91,2-code-confirmed,TBD,,N/A,pending,unknown,in,Lootie,hargs91,none,code/name confirmed; profile+format to verify,,low,"Real code/name; resolve handle, counts, platform. Lootie creator code"
70,Helou,2-code-confirmed,TBD,,N/A,pending,unknown,in,SkinClub,(custom case),none,code/name confirmed; profile+format to verify,,low-med,"Real code/name; resolve handle, counts, platform. named SkinClub custom-case creator"
71,jolly,2-code-confirmed,TBD,,N/A,pending,unknown,in,HypeLoot,jolly,none,code/name confirmed; profile+format to verify,,low,"Real code/name; resolve handle, counts, platform. HypeLoot creator code (15% + daily box)"
72,KUJTAA,2-code-confirmed,TBD,,N/A,pending,unknown,in,Cases.GG,KUJTAA,none,code/name confirmed; profile+format to verify,,low,"Real code/name; resolve handle, counts, platform. creator-style Cases.GG code"
73,MACE2C (MACE2CSTT),2-code-confirmed,TikTok,,N/A,pending,unknown,in,SkinClub,MACE2CSTT,none,code/name confirmed; profile+format to verify,,low-med,"Real code/name; resolve handle, counts, platform. SkinClub streamer code"
74,megalodon888,2-code-confirmed,Twitch/Kick,,N/A,pending,unknown,in,SkinClub,(event partner),none,code/name confirmed; profile+format to verify,,low-med,"Real code/name; resolve handle, counts, platform. SkinClub $240k case-opening event streamer"
75,MISACSGO,2-code-confirmed,TBD,,N/A,pending,unknown,in,Clash.gg,MISACSGO,none,code/name confirmed; profile+format to verify,,low,"Real code/name; resolve handle, counts, platform. creator-tied Clash.gg code"
76,PEST,2-code-confirmed,TBD,,N/A,pending,unknown,in,Cases.GG,PEST,none,code/name confirmed; profile+format to verify,,low,"Real code/name; resolve handle, counts, platform. creator-style Cases.GG code"
77,riderty111,2-code-confirmed,TBD,,N/A,pending,unknown,in,Lootie,riderty111,none,code/name confirmed; profile+format to verify,,low,"Real code/name; resolve handle, counts, platform. Lootie creator code"
78,SANTI (SANTICS),2-code-confirmed,TBD,,N/A,pending,unknown,in,SkinClub,SANTICS,none,code/name confirmed; profile+format to verify,,low-med,"Real code/name; resolve handle, counts, platform. SkinClub streamer code"
79,SUKUNA (SUKUNATT),2-code-confirmed,TikTok,,N/A,pending,unknown,in,SkinClub,SUKUNATT,none,code/name confirmed; profile+format to verify,,low-med,"Real code/name; resolve handle, counts, platform. SkinClub streamer code"
80,Ted (ICYTED),2-code-confirmed,TikTok?,,N/A,pending,unknown,in,IcyBox,ICYTED,none,code/name confirmed; profile+format to verify,,low,"Real code/name; resolve handle, counts, platform. IcyBox $5-off creator code ICYTED"
81,VAXEN,2-code-confirmed,TBD,,N/A,pending,unknown,in,Clash.gg,VAXEN,none,code/name confirmed; profile+format to verify,,low,"Real code/name; resolve handle, counts, platform. creator-tied Clash.gg code"
82,VECHMAN (VECHMANTT),2-code-confirmed,TikTok,,N/A,pending,unknown,in,SkinClub,VECHMANTT,none,code/name confirmed; profile+format to verify,,low-med,"Real code/name; resolve handle, counts, platform. SkinClub streamer code"
83,ZIGM,2-code-confirmed,YouTube,,N/A,pending,unknown,in,PackDraw,ZIGM,none,code/name confirmed; profile+format to verify,,low-med,"Real code/name; resolve handle, counts, platform. PackDraw creator code w/ own $3,000 leaderboard"
84,SkinClub/Cases.GG promoter #1 (channel unresolved),4-unresolved-promoter,YouTube,https://www.youtube.com/watch?v=BNy7TOjo1fA,N/A,pending,unknown,in,SkinClub / Cases.GG,(in-video code),none,Dedicated case-opening promo video,https://www.youtube.com/watch?v=BNy7TOjo1fA,low,Real promo video; resolve owning channel -> becomes a named creator
85,SkinClub/Cases.GG promoter #10 (channel unresolved),4-unresolved-promoter,YouTube,https://www.youtube.com/watch?v=Z1jf2W2Ie1s,N/A,pending,unknown,in,SkinClub / Cases.GG,(in-video code),none,Dedicated case-opening promo video,https://www.youtube.com/watch?v=Z1jf2W2Ie1s,low,Real promo video; resolve owning channel -> becomes a named creator
86,SkinClub/Cases.GG promoter #11 (channel unresolved),4-unresolved-promoter,YouTube,https://www.youtube.com/watch?v=o1PusbuXCks,N/A,pending,unknown,in,SkinClub / Cases.GG,(in-video code),none,Dedicated case-opening promo video,https://www.youtube.com/watch?v=o1PusbuXCks,low,Real promo video; resolve owning channel -> becomes a named creator
87,SkinClub/Cases.GG promoter #12 (channel unresolved),4-unresolved-promoter,YouTube,https://www.youtube.com/watch?v=fM3wlEODjCw,N/A,pending,unknown,in,SkinClub / Cases.GG,(in-video code),none,Dedicated case-opening promo video,https://www.youtube.com/watch?v=fM3wlEODjCw,low,Real promo video; resolve owning channel -> becomes a named creator
88,SkinClub/Cases.GG promoter #13 (channel unresolved),4-unresolved-promoter,YouTube,https://www.youtube.com/watch?v=icrbev7eyw8,N/A,pending,unknown,in,SkinClub / Cases.GG,(in-video code),none,Dedicated case-opening promo video,https://www.youtube.com/watch?v=icrbev7eyw8,low,Real promo video; resolve owning channel -> becomes a named creator
89,SkinClub/Cases.GG promoter #14 (channel unresolved),4-unresolved-promoter,YouTube,https://www.youtube.com/watch?v=Q3vr_extfAA,N/A,pending,unknown,in,SkinClub / Cases.GG,(in-video code),none,Dedicated case-opening promo video,https://www.youtube.com/watch?v=Q3vr_extfAA,low,Real promo video; resolve owning channel -> becomes a named creator
90,SkinClub/Cases.GG promoter #15 (channel unresolved),4-unresolved-promoter,YouTube,https://www.youtube.com/watch?v=7io-8GvwgZE,N/A,pending,unknown,in,SkinClub / Cases.GG,(in-video code),none,Dedicated case-opening promo video,https://www.youtube.com/watch?v=7io-8GvwgZE,low,Real promo video; resolve owning channel -> becomes a named creator
91,SkinClub/Cases.GG promoter #16 (channel unresolved),4-unresolved-promoter,YouTube,https://www.youtube.com/watch?v=pB07zTxUHwM,N/A,pending,unknown,in,SkinClub / Cases.GG,(in-video code),none,Dedicated case-opening promo video,https://www.youtube.com/watch?v=pB07zTxUHwM,low,Real promo video; resolve owning channel -> becomes a named creator
92,SkinClub/Cases.GG promoter #17 (channel unresolved),4-unresolved-promoter,YouTube,https://www.youtube.com/watch?v=9pMufz6TnqU,N/A,pending,unknown,in,SkinClub / Cases.GG,(in-video code),none,Dedicated case-opening promo video,https://www.youtube.com/watch?v=9pMufz6TnqU,low,Real promo video; resolve owning channel -> becomes a named creator
93,SkinClub/Cases.GG promoter #2 (channel unresolved),4-unresolved-promoter,YouTube,https://www.youtube.com/watch?v=biP0oSEhS28,N/A,pending,unknown,in,SkinClub / Cases.GG,(in-video code),none,Dedicated case-opening promo video,https://www.youtube.com/watch?v=biP0oSEhS28,low,Real promo video; resolve owning channel -> becomes a named creator
94,SkinClub/Cases.GG promoter #3 (channel unresolved),4-unresolved-promoter,YouTube,https://www.youtube.com/watch?v=_1G_WUsN-xs,N/A,pending,unknown,in,SkinClub / Cases.GG,(in-video code),none,Dedicated case-opening promo video,https://www.youtube.com/watch?v=_1G_WUsN-xs,low,Real promo video; resolve owning channel -> becomes a named creator
95,SkinClub/Cases.GG promoter #4 (channel unresolved),4-unresolved-promoter,YouTube,https://www.youtube.com/watch?v=Hho8TdiEQM0,N/A,pending,unknown,in,SkinClub / Cases.GG,(in-video code),none,Dedicated case-opening promo video,https://www.youtube.com/watch?v=Hho8TdiEQM0,low,Real promo video; resolve owning channel -> becomes a named creator
96,SkinClub/Cases.GG promoter #5 (channel unresolved),4-unresolved-promoter,YouTube,https://www.youtube.com/watch?v=4MK_jpznbaE,N/A,pending,unknown,in,SkinClub / Cases.GG,(in-video code),none,Dedicated case-opening promo video,https://www.youtube.com/watch?v=4MK_jpznbaE,low,Real promo video; resolve owning channel -> becomes a named creator
97,SkinClub/Cases.GG promoter #6 (channel unresolved),4-unresolved-promoter,YouTube,https://www.youtube.com/watch?v=7f7lWQ4l3RI,N/A,pending,unknown,in,SkinClub / Cases.GG,(in-video code),none,Dedicated case-opening promo video,https://www.youtube.com/watch?v=7f7lWQ4l3RI,low,Real promo video; resolve owning channel -> becomes a named creator
98,SkinClub/Cases.GG promoter #7 (channel unresolved),4-unresolved-promoter,YouTube,https://www.youtube.com/watch?v=GfyQluRuYpU,N/A,pending,unknown,in,SkinClub / Cases.GG,(in-video code),none,Dedicated case-opening promo video,https://www.youtube.com/watch?v=GfyQluRuYpU,low,Real promo video; resolve owning channel -> becomes a named creator
99,SkinClub/Cases.GG promoter #8 (channel unresolved),4-unresolved-promoter,YouTube,https://www.youtube.com/watch?v=s0p5N7_eQbI,N/A,pending,unknown,in,SkinClub / Cases.GG,(in-video code),none,Dedicated case-opening promo video,https://www.youtube.com/watch?v=s0p5N7_eQbI,low,Real promo video; resolve owning channel -> becomes a named creator
100,SkinClub/Cases.GG promoter #9 (channel unresolved),4-unresolved-promoter,YouTube,https://www.youtube.com/watch?v=JR06Yl_F1VI,N/A,pending,unknown,in,SkinClub / Cases.GG,(in-video code),none,Dedicated case-opening promo video,https://www.youtube.com/watch?v=JR06Yl_F1VI,low,Real promo video; resolve owning channel -> becomes a named creator
